TESTING: episode: 10020000, avg_reward: -72.97, success_rate: 0.255, avg_steps: 9.766
TESTING: episode: 970020000, avg_reward: 79.81, success_rate: 0.881, avg_steps: 7.002
TESTING: episode: 980020000, avg_reward: 65.06, success_rate: 0.89, avg_steps: 7.096
TESTING: episode: 990020000, avg_reward: 66.78, success_rate: 0.901, avg_steps: 7.04
TESTING: episode: 1000020000, avg_reward: 69.12, success_rate: 0.882, avg_steps: 6.997
TESTING: episode: 1010020000, avg_reward: 71.1, success_rate: 0.897, avg_steps: 6.818
TESTING: episode: 1020020000, avg_reward: 77.33, success_rate: 0.892, avg_steps: 7.104
TESTING: episode: 1030020000, avg_reward: 69.3, success_rate: 0.915, avg_steps: 6.93
TESTING: episode: 1040020000, avg_reward: 79.37, success_rate: 0.892, avg_steps: 6.918
TESTING: episode: 1050020000, avg_reward: 66.94, success_rate: 0.887, avg_steps: 6.981
TESTING: episode: 1060020000, avg_reward: 64.84, success_rate: 0.893, avg_steps: 7.041
TESTING: episode: 1070020000, avg_reward: 75.16, success_rate: 0.884, avg_steps: 7.067
TESTING: episode: 1080020000, avg_reward: 77.32, success_rate: 0.898, avg_steps: 6.956
TESTING: episode: 1090020000, avg_reward: 73.5, success_rate: 0.908, avg_steps: 6.954
TESTING: episode: 1100020000, avg_reward: 76.77, success_rate: 0.877, avg_steps: 7.118
TESTING: episode: 1110020000, avg_reward: 58.27, success_rate: 0.873, avg_steps: 7.249
TESTING: episode: 1120020000, avg_reward: 73.56, success_rate: 0.907, avg_steps: 6.859
TESTING: episode: 1130020000, avg_reward: 73.75, success_rate: 0.893, avg_steps: 6.861
TESTING: episode: 1140020000, avg_reward: 71.28, success_rate: 0.886, avg_steps: 7.01
TESTING: episode: 1150020000, avg_reward: 73.21, success_rate: 0.897, avg_steps: 6.972
TESTING: episode: 1160020000, avg_reward: 77.8, success_rate: 0.884, avg_steps: 7.025
TESTING: episode: 1170020000, avg_reward: 77.19, success_rate: 0.909, avg_steps: 7.075
TESTING: episode: 1180020000, avg_reward: 79.03, success_rate: 0.9, avg_steps: 7.001
TESTING: episode: 1190020000, avg_reward: 71.01, success_rate: 0.901, avg_steps: 6.848
TESTING: episode: 1200020000, avg_reward: 73.07, success_rate: 0.899, avg_steps: 6.952
TESTING: episode: 1210020000, avg_reward: 65.32, success_rate: 0.9, avg_steps: 6.84
TESTING: episode: 1220020000, avg_reward: 71.18, success_rate: 0.893, avg_steps: 7.192
TESTING: episode: 1230020000, avg_reward: 58.54, success_rate: 0.896, avg_steps: 6.884
TESTING: episode: 1240020000, avg_reward: 64.65, success_rate: 0.893, avg_steps: 6.884
TESTING: episode: 1250020000, avg_reward: 72.89, success_rate: 0.893, avg_steps: 6.978
TESTING: episode: 1260020000, avg_reward: 62.88, success_rate: 0.898, avg_steps: 7.106
TESTING: episode: 1270020000, avg_reward: 54.72, success_rate: 0.898, avg_steps: 6.931
TESTING: episode: 1280020000, avg_reward: 71.02, success_rate: 0.905, avg_steps: 7.003
TESTING: episode: 1290020000, avg_reward: 71.34, success_rate: 0.908, avg_steps: 7.073
TESTING: episode: 1300020000, avg_reward: 64.54, success_rate: 0.913, avg_steps: 7.165
TESTING: episode: 1310020000, avg_reward: 75.12, success_rate: 0.895, avg_steps: 7.141
TESTING: episode: 1320020000, avg_reward: 69.1, success_rate: 0.901, avg_steps: 7.018
TESTING: episode: 1330020000, avg_reward: 70.84, success_rate: 0.884, avg_steps: 7.235
TESTING: episode: 1340020000, avg_reward: 79.28, success_rate: 0.874, avg_steps: 7.02
TESTING: episode: 1350020000, avg_reward: 71.07, success_rate: 0.905, avg_steps: 6.971
TESTING: episode: 1360020000, avg_reward: 72.61, success_rate: 0.895, avg_steps: 7.061
TESTING: episode: 1370020000, avg_reward: 71.37, success_rate: 0.903, avg_steps: 7.011
TESTING: episode: 1380020000, avg_reward: 70.74, success_rate: 0.892, avg_steps: 7.062
TESTING: episode: 1390020000, avg_reward: 77.28, success_rate: 0.896, avg_steps: 6.96
TESTING: episode: 1400020000, avg_reward: 69.08, success_rate: 0.897, avg_steps: 6.915
TESTING: episode: 1410020000, avg_reward: 73.04, success_rate: 0.902, avg_steps: 7.165
TESTING: episode: 1420020000, avg_reward: 75.14, success_rate: 0.89, avg_steps: 6.942
TESTING: episode: 1430020000, avg_reward: 79.24, success_rate: 0.895, avg_steps: 7.067
TESTING: episode: 1440020000, avg_reward: 76.98, success_rate: 0.846, avg_steps: 7.562
TESTING: episode: 1450020000, avg_reward: 79.19, success_rate: 0.894, avg_steps: 7.237
TESTING: episode: 1460020000, avg_reward: 75.32, success_rate: 0.904, avg_steps: 7.009
TESTING: episode: 1470020000, avg_reward: 68.92, success_rate: 0.888, avg_steps: 6.98
TESTING: episode: 1480020000, avg_reward: 74.91, success_rate: 0.866, avg_steps: 7.247
TESTING: episode: 1490020000, avg_reward: 56.95, success_rate: 0.896, avg_steps: 7.055
TESTING: episode: 1500020000, avg_reward: 75.2, success_rate: 0.905, avg_steps: 7.029
TESTING: episode: 1510020000, avg_reward: 73.45, success_rate: 0.845, avg_steps: 7.335
TESTING: episode: 1520020000, avg_reward: 81.5, success_rate: 0.896, avg_steps: 7.154
TESTING: episode: 1530020000, avg_reward: 66.98, success_rate: 0.889, avg_steps: 6.994
TESTING: episode: 1540020000, avg_reward: 72.84, success_rate: 0.904, avg_steps: 6.968
TESTING: episode: 1550020000, avg_reward: 66.75, success_rate: 0.903, avg_steps: 6.906
TESTING: episode: 1560020000, avg_reward: 68.81, success_rate: 0.879, avg_steps: 7.044
TESTING: episode: 1570020000, avg_reward: 68.86, success_rate: 0.9, avg_steps: 6.921
TESTING: episode: 1580020000, avg_reward: 69.09, success_rate: 0.889, avg_steps: 6.917
TESTING: episode: 1590020000, avg_reward: 79.21, success_rate: 0.896, avg_steps: 6.96
TESTING: episode: 1600020000, avg_reward: 79.31, success_rate: 0.889, avg_steps: 7.032
TESTING: episode: 1610020000, avg_reward: 62.9, success_rate: 0.88, avg_steps: 7.193
TESTING: episode: 1620020000, avg_reward: 68.86, success_rate: 0.898, avg_steps: 7.037
TESTING: episode: 1630020000, avg_reward: 74.75, success_rate: 0.891, avg_steps: 7.126
TESTING: episode: 1640020000, avg_reward: 72.63, success_rate: 0.9, avg_steps: 7.09
TESTING: episode: 1650020000, avg_reward: 73.19, success_rate: 0.896, avg_steps: 7.077
TESTING: episode: 1660020000, avg_reward: 60.66, success_rate: 0.89, avg_steps: 7.166
TESTING: episode: 1670020000, avg_reward: 79.03, success_rate: 0.892, avg_steps: 7.07
TESTING: episode: 1680020000, avg_reward: 70.92, success_rate: 0.89, avg_steps: 7.1
TESTING: episode: 1690020000, avg_reward: 73.36, success_rate: 0.876, avg_steps: 7.067
TESTING: episode: 1700020000, avg_reward: 68.2, success_rate: 0.892, avg_steps: 6.932
TESTING: episode: 1710020000, avg_reward: 83.49, success_rate: 0.905, avg_steps: 6.888
TESTING: episode: 1720020000, avg_reward: 67.36, success_rate: 0.88, avg_steps: 6.963
TESTING: episode: 1730020000, avg_reward: 70.79, success_rate: 0.903, avg_steps: 6.976
TESTING: episode: 1740020000, avg_reward: 79.27, success_rate: 0.878, avg_steps: 7.118
TESTING: episode: 1750020000, avg_reward: 70.47, success_rate: 0.893, avg_steps: 7.22
TESTING: episode: 1760020000, avg_reward: 71.04, success_rate: 0.894, avg_steps: 6.956
TESTING: episode: 1770020000, avg_reward: 76.76, success_rate: 0.9, avg_steps: 6.903
TESTING: episode: 1780020000, avg_reward: 71.0, success_rate: 0.885, avg_steps: 7.211
TESTING: episode: 1790020000, avg_reward: 56.7, success_rate: 0.878, avg_steps: 7.104
TESTING: episode: 1800020000, avg_reward: 81.6, success_rate: 0.893, avg_steps: 7.011
TESTING: episode: 1810020000, avg_reward: 77.25, success_rate: 0.898, avg_steps: 7.073
TESTING: episode: 1820020000, avg_reward: 69.37, success_rate: 0.887, avg_steps: 7.054
TESTING: episode: 1830020000, avg_reward: 79.16, success_rate: 0.871, avg_steps: 7.042
TESTING: episode: 1840020000, avg_reward: 72.97, success_rate: 0.894, avg_steps: 7.127
TESTING: episode: 1850020000, avg_reward: 66.94, success_rate: 0.894, avg_steps: 7.047
TESTING: episode: 1860020000, avg_reward: 74.95, success_rate: 0.897, avg_steps: 7.078
TESTING: episode: 1870020000, avg_reward: 60.34, success_rate: 0.915, avg_steps: 7.045
TESTING: episode: 1880020000, avg_reward: 64.88, success_rate: 0.902, avg_steps: 6.985
TESTING: episode: 1890020000, avg_reward: 70.99, success_rate: 0.879, avg_steps: 7.051
TESTING: episode: 1900020000, avg_reward: 75.45, success_rate: 0.791, avg_steps: 7.603
TESTING: episode: 1910020000, avg_reward: 64.74, success_rate: 0.893, avg_steps: 7.083
TESTING: episode: 1920020000, avg_reward: 60.81, success_rate: 0.883, avg_steps: 7.222
TESTING: episode: 1930020000, avg_reward: 68.66, success_rate: 0.871, avg_steps: 7.189
TESTING: episode: 1940020000, avg_reward: 79.34, success_rate: 0.871, avg_steps: 7.287
TESTING: episode: 1950020000, avg_reward: 70.95, success_rate: 0.893, avg_steps: 6.997
TESTING: episode: 1960020000, avg_reward: 64.76, success_rate: 0.887, avg_steps: 7.231
TESTING: episode: 1970020000, avg_reward: 71.42, success_rate: 0.89, avg_steps: 7.098
TESTING: episode: 1980020000, avg_reward: 62.65, success_rate: 0.92, avg_steps: 7.017
TESTING: episode: 1990020000, avg_reward: 69.19, success_rate: 0.885, avg_steps: 7.094
TESTING: episode: 2000020000, avg_reward: 62.62, success_rate: 0.895, avg_steps: 7.038
