,Student_ID,Action_Types,Action_Time,Cur_Proficiency
85,0007,AT32,55,"{0: 4, 1: 1}"
86,0007,11,41,
87,0007,Final Exam,90,"[4, 2, 3, 4, 1]"
88,0008,Prior Assessment Test,90,"[1, 2, 0, 1, 1]"
89,0008,12,51,
90,0008,AT33,26,"{1: 2, 2: 1, 3: 1, 4: 1}"
91,0008,AT39,12,"{1: 3, 4: 1}"
92,0008,12,12,
93,0008,8,1,
94,0008,8,35,
95,0008,5,23,
96,0008,0,1,
97,0008,3,11,
98,0008,21,56,
99,0008,AT33,10,"{1: 4, 2: 4, 3: 3, 4: 2}"
100,0008,AT31,38,"{0: 4, 4: 3}"
101,0008,AT33,19,"{1: 4, 2: 4, 3: 3, 4: 4}"
102,0008,Final Exam,90,"[4, 4, 4, 3, 4]"
103,0009,Prior Assessment Test,90,"[0, 1, 0, 1, 1]"
104,0009,AT36,11,"{0: 1, 1: 1, 4: 1}"
105,0009,AT37,14,"{3: 2, 4: 1}"
106,0009,10,8,
107,0009,13,40,
108,0009,AT26,4,"{0: 2, 1: 1, 2: 0}"
109,0009,7,3,
110,0009,5,20,
111,0009,AT31,11,"{0: 4, 4: 3}"
112,0009,AT25,40,"{1: 2, 2: 0, 3: 4}"
113,0009,12,42,
114,0009,AT35,44,"{1: 2, 2: 1, 3: 4, 4: 4}"
115,0009,Final Exam,90,"[4, 2, 1, 4, 4]"
116,0010,Prior Assessment Test,90,"[1, 1, 2, 1, 1]"
117,0010,AT37,42,"{3: 2, 4: 1}"
118,0010,AT38,30,"{1: 1, 2: 2, 3: 4}"
119,0010,22,14,
120,0010,4,38,
121,0010,3,3,
122,0010,18,10,
123,0010,AT35,14,"{1: 1, 2: 3, 3: 4, 4: 4}"
124,0010,AT25,42,"{1: 1, 2: 4, 3: 4}"
125,0010,23,8,
126,0010,0,1,
127,0010,AT25,16,"{1: 4, 2: 4, 3: 4}"
128,0010,Final Exam,90,"[2, 4, 4, 4, 4]"
129,0011,Prior Assessment Test,90,"[1, 2, 1, 1, 0]"
130,0011,AT25,18,"{1: 3, 2: 1, 3: 1}"
131,0011,4,14,
132,0011,AT31,14,"{0: 2, 4: 1}"
133,0011,5,45,
134,0011,5,7,
135,0011,AT34,27,"{0: 3, 1: 3, 2: 1}"
136,0011,15,27,
137,0011,AT35,9,"{1: 3, 2: 1, 3: 3, 4: 4}"
138,0011,17,22,
139,0011,0,56,
140,0011,Final Exam,90,"[4, 4, 3, 4, 4]"
141,0012,Prior Assessment Test,90,"[0, 1, 0, 1, 0]"
142,0012,16,55,
143,0012,16,40,
144,0012,AT25,27,"{1: 1, 2: 0, 3: 4}"
145,0012,AT26,28,"{0: 1, 1: 2, 2: 0}"
146,0012,AT33,56,"{1: 2, 2: 1, 3: 4, 4: 1}"
147,0012,6,7,
148,0012,AT39,46,"{1: 3, 4: 2}"
149,0012,12,3,
150,0012,Final Exam,90,"[4, 3, 1, 4, 2]"
151,0013,Prior Assessment Test,90,"[0, 2, 0, 1, 2]"
152,0013,20,3,
153,0013,AT39,16,"{1: 2, 4: 3}"
154,0013,AT33,8,"{1: 2, 2: 1, 3: 1, 4: 3}"
155,0013,14,8,
156,0013,AT34,3,"{0: 3, 1: 3, 2: 1}"
157,0013,Final Exam,90,"[3, 3, 1, 1, 3]"
158,0014,Prior Assessment Test,90,"[2, 3, 0, 1, 1]"
159,0014,AT28,1,"{0: 3, 1: 3, 2: 0, 4: 1}"
160,0014,11,8,
161,0014,AT30,24,{3: 3}
162,0014,AT26,58,"{0: 4, 1: 3, 2: 0}"
163,0014,23,58,
164,0014,AT28,1,"{0: 4, 1: 4, 2: 1, 4: 1}"
165,0014,Final Exam,90,"[4, 4, 1, 3, 1]"
166,0015,Prior Assessment Test,90,"[1, 1, 0, 1, 0]"
167,0015,12,15,
168,0015,AT32,19,"{0: 2, 1: 2}"
169,0015,10,38,
170,0015,11,57,
171,0015,0,18,
172,0015,AT28,46,"{0: 2, 1: 4, 2: 1, 4: 1}"
173,0015,AT37,44,"{3: 2, 4: 1}"
174,0015,13,6,
175,0015,11,23,
176,0015,9,41,
177,0015,AT39,23,"{1: 4, 4: 4}"
178,0015,Final Exam,90,"[2, 4, 2, 4, 4]"
179,0016,Prior Assessment Test,90,"[0, 2, 3, 1, 0]"
180,0016,22,53,
181,0016,12,4,
182,0016,6,58,
183,0016,6,26,
184,0016,1,22,
185,0016,AT34,48,"{0: 3, 1: 4, 2: 4}"
186,0016,AT26,1,"{0: 4, 1: 4, 2: 4}"
187,0016,Final Exam,90,"[4, 4, 4, 2, 1]"
188,0017,Prior Assessment Test,90,"[0, 0, 3, 0, 2]"
189,0017,15,7,
190,0017,AT29,53,"{3: 2, 4: 4}"
191,0017,18,30,
192,0017,7,47,
193,0017,3,52,
194,0017,19,30,
195,0017,11,43,
196,0017,AT34,27,"{0: 0, 1: 3, 2: 4}"
197,0017,19,12,
198,0017,17,31,
199,0017,AT27,50,"{0: 2, 1: 4, 2: 4}"
200,0017,8,42,
201,0017,6,39,
202,0017,Final Exam,90,"[4, 4, 4, 4, 4]"
203,0018,Prior Assessment Test,90,"[1, 2, 0, 2, 4]"
204,0018,19,3,
205,0018,AT35,51,"{1: 4, 2: 0, 3: 2, 4: 4}"
206,0018,AT37,26,"{3: 3, 4: 4}"
207,0018,Final Exam,90,"[1, 4, 0, 3, 4]"
208,0019,Prior Assessment Test,90,"[1, 0, 1, 2, 1]"
209,0019,24,10,
210,0019,8,35,
211,0019,23,18,
212,0019,AT30,29,{3: 3}
213,0019,9,39,
214,0019,AT27,33,"{0: 3, 1: 1, 2: 2}"
215,0019,5,4,
216,0019,AT26,9,"{0: 4, 1: 1, 2: 3}"
217,0019,3,9,
218,0019,9,39,
219,0019,Final Exam,90,"[4, 1, 3, 4, 3]"
220,0020,Prior Assessment Test,90,"[2, 2, 0, 1, 0]"
221,0020,22,38,
222,0020,AT27,9,"{0: 3, 1: 3, 2: 2}"
223,0020,AT34,22,"{0: 3, 1: 3, 2: 3}"
224,0020,17,31,
225,0020,4,8,
226,0020,AT36,10,"{0: 4, 1: 4, 4: 1}"
227,0020,AT31,11,"{0: 4, 4: 2}"
228,0020,11,17,
229,0020,2,10,
230,0020,2,13,
231,0020,10,54,
232,0020,Final Exam,90,"[4, 4, 4, 4, 2]"
233,0021,Prior Assessment Test,90,"[1, 1, 0, 0, 1]"
234,0021,AT26,14,"{0: 1, 1: 1, 2: 1}"
235,0021,AT33,5,"{1: 1, 2: 2, 3: 0, 4: 1}"
236,0021,AT26,41,"{0: 1, 1: 3, 2: 3}"
237,0021,22,49,
238,0021,AT25,52,"{1: 3, 2: 4, 3: 1}"
239,0021,0,34,
240,0021,16,27,
241,0021,Final Exam,90,"[2, 4, 4, 1, 1]"
242,0022,Prior Assessment Test,90,"[1, 0, 2, 0, 3]"
243,0022,19,34,
244,0022,12,47,
245,0022,AT26,47,"{0: 1, 1: 4, 2: 3}"
246,0022,AT27,60,"{0: 1, 1: 4, 2: 4}"
247,0022,AT28,32,"{0: 1, 1: 4, 2: 4, 4: 4}"
248,0022,AT37,7,"{3: 1, 4: 4}"
249,0022,1,47,
250,0022,AT34,5,"{0: 2, 1: 4, 2: 4}"
251,0022,AT37,2,"{3: 3, 4: 4}"
252,0022,1,25,
253,0022,Final Exam,90,"[2, 4, 4, 4, 4]"
254,0023,Prior Assessment Test,90,"[1, 1, 0, 1, 1]"
255,0023,AT37,30,"{3: 2, 4: 1}"
256,0023,16,37,
257,0023,AT32,30,"{0: 3, 1: 2}"
258,0023,AT28,2,"{0: 4, 1: 2, 2: 0, 4: 1}"
259,0023,16,9,
260,0023,9,11,
261,0023,AT26,1,"{0: 4, 1: 3, 2: 1}"
262,0023,5,8,
263,0023,22,37,
264,0023,AT33,32,"{1: 4, 2: 3, 3: 4, 4: 2}"
265,0023,19,18,
266,0023,0,46,
267,0023,AT35,46,"{1: 4, 2: 4, 3: 4, 4: 4}"
268,0023,Final Exam,90,"[4, 4, 4, 4, 4]"
269,0024,Prior Assessment Test,90,"[0, 1, 0, 1, 0]"
270,0024,AT37,37,"{3: 2, 4: 0}"
271,0024,15,23,
272,0024,23,44,
273,0024,11,51,
274,0024,AT25,6,"{1: 1, 2: 2, 3: 4}"
275,0024,AT38,15,"{1: 2, 2: 3, 3: 4}"
276,0024,16,1,
277,0024,11,48,
278,0024,AT39,28,"{1: 4, 4: 1}"
279,0024,AT39,28,"{1: 4, 4: 2}"
280,0024,AT39,11,"{1: 4, 4: 3}"
281,0024,AT39,5,"{1: 4, 4: 4}"
282,0024,6,17,
283,0024,Final Exam,90,"[2, 4, 4, 4, 4]"
284,0025,Prior Assessment Test,90,"[0, 1, 1, 2, 1]"
285,0025,17,15,
286,0025,17,17,
287,0025,8,55,
288,0025,24,28,
289,0025,AT30,45,{3: 4}
290,0025,24,57,
291,0025,17,46,
292,0025,AT33,22,"{1: 2, 2: 3, 3: 4, 4: 1}"
293,0025,AT31,39,"{0: 4, 4: 2}"
294,0025,7,53,
295,0025,20,14,
296,0025,Final Exam,90,"[4, 2, 4, 4, 3]"
297,0026,Prior Assessment Test,90,"[0, 1, 2, 0, 1]"
298,0026,AT26,34,"{0: 0, 1: 1, 2: 3}"
299,0026,AT30,7,{3: 1}
300,0026,7,42,
301,0026,12,10,
302,0026,AT33,52,"{1: 2, 2: 4, 3: 1, 4: 1}"
303,0026,AT31,45,"{0: 2, 4: 2}"
304,0026,7,16,
305,0026,Final Exam,90,"[3, 2, 4, 1, 2]"
306,0027,Prior Assessment Test,90,"[0, 0, 1, 0, 0]"
307,0027,AT35,35,"{1: 1, 2: 1, 3: 0, 4: 0}"
308,0027,AT30,34,{3: 1}
309,0027,AT27,21,"{0: 0, 1: 1, 2: 3}"
310,0027,AT37,8,"{3: 2, 4: 0}"
311,0027,18,2,
312,0027,AT34,43,"{0: 0, 1: 1, 2: 4}"
313,0027,17,35,
314,0027,16,30,
315,0027,AT31,24,"{0: 2, 4: 1}"
316,0027,Final Exam,90,"[2, 2, 4, 3, 1]"
317,0028,Prior Assessment Test,90,"[1, 2, 1, 1, 2]"
318,0028,8,37,
319,0028,13,10,
320,0028,23,45,
321,0028,AT33,7,"{1: 2, 2: 3, 3: 3, 4: 2}"
322,0028,4,58,
323,0028,7,49,
324,0028,AT25,11,"{1: 2, 2: 4, 3: 4}"
325,0028,1,32,
326,0028,1,1,
327,0028,Final Exam,90,"[2, 2, 4, 4, 4]"
328,0029,Prior Assessment Test,90,"[1, 0, 0, 1, 1]"
329,0029,23,19,
330,0029,24,19,
331,0029,AT28,7,"{0: 3, 1: 1, 2: 0, 4: 1}"
332,0029,17,44,
333,0029,AT26,51,"{0: 4, 1: 2, 2: 0}"
334,0029,AT28,60,"{0: 4, 1: 2, 2: 0, 4: 2}"
335,0029,17,1,
336,0029,18,14,
337,0029,AT39,33,"{1: 4, 4: 3}"
338,0029,Final Exam,90,"[4, 4, 0, 2, 3]"
339,0030,Prior Assessment Test,90,"[0, 1, 1, 0, 1]"
340,0030,AT29,5,"{3: 1, 4: 1}"
341,0030,AT26,14,"{0: 0, 1: 1, 2: 2}"
342,0030,AT37,9,"{3: 2, 4: 1}"
343,0030,23,8,
344,0030,AT25,22,"{1: 1, 2: 3, 3: 4}"
345,0030,1,4,
346,0030,16,1,
347,0030,3,31,
348,0030,Final Exam,90,"[0, 2, 4, 4, 2]"
349,0031,Prior Assessment Test,90,"[1, 2, 0, 0, 1]"
350,0031,22,4,
351,0031,12,2,
352,0031,15,32,
353,0031,AT39,6,"{1: 3, 4: 3}"
354,0031,11,51,
355,0031,AT33,29,"{1: 3, 2: 4, 3: 2, 4: 3}"
356,0031,12,41,
357,0031,AT38,60,"{1: 4, 2: 4, 3: 3}"
358,0031,Final Exam,90,"[3, 4, 4, 3, 3]"
359,0032,Prior Assessment Test,90,"[1, 1, 1, 3, 4]"
360,0032,AT33,31,"{1: 1, 2: 1, 3: 4, 4: 4}"
361,0032,22,6,
362,0032,Final Exam,90,"[1, 1, 2, 4, 4]"
363,0033,Prior Assessment Test,90,"[2, 0, 0, 4, 1]"
364,0033,AT28,56,"{0: 3, 1: 0, 2: 0, 4: 1}"
365,0033,AT28,7,"{0: 3, 1: 0, 2: 1, 4: 1}"
366,0033,8,9,
367,0033,AT32,22,"{0: 4, 1: 1}"
368,0033,22,26,
369,0033,2,35,
370,0033,3,60,
371,0033,16,50,
372,0033,Final Exam,90,"[4, 3, 4, 4, 1]"
373,0034,Prior Assessment Test,90,"[0, 1, 0, 1, 0]"
374,0034,AT37,5,"{3: 2, 4: 0}"
375,0034,22,45,
376,0034,13,16,
377,0034,18,13,
378,0034,17,21,
379,0034,AT27,8,"{0: 1, 1: 2, 2: 2}"
380,0034,AT25,5,"{1: 4, 2: 2, 3: 4}"
381,0034,21,55,
382,0034,Final Exam,90,"[1, 4, 3, 4, 0]"
383,0035,Prior Assessment Test,90,"[0, 0, 1, 1, 1]"
384,0035,AT33,4,"{1: 0, 2: 1, 3: 2, 4: 1}"
385,0035,22,34,
386,0035,19,6,
387,0035,AT29,18,"{3: 3, 4: 1}"
388,0035,AT39,25,"{1: 0, 4: 2}"
389,0035,AT34,6,"{0: 0, 1: 0, 2: 4}"
390,0035,AT39,11,"{1: 0, 4: 3}"
391,0035,AT27,22,"{0: 1, 1: 0, 2: 4}"
392,0035,24,22,
393,0035,17,4,
394,0035,AT39,32,"{1: 3, 4: 3}"
395,0035,Final Exam,90,"[2, 3, 4, 3, 3]"
396,0036,Prior Assessment Test,90,"[1, 1, 1, 1, 1]"
397,0036,12,21,
398,0036,16,30,
399,0036,12,17,
400,0036,AT26,4,"{0: 4, 1: 2, 2: 2}"
401,0036,23,6,
402,0036,6,57,
403,0036,22,1,
404,0036,AT30,3,{3: 4}
405,0036,4,35,
406,0036,9,50,
407,0036,4,59,
408,0036,Final Exam,90,"[4, 4, 4, 4, 2]"
409,0037,Prior Assessment Test,90,"[0, 0, 1, 1, 0]"
410,0037,AT37,6,"{3: 2, 4: 0}"
411,0037,2,12,
412,0037,7,35,
413,0037,AT31,48,"{0: 2, 4: 2}"
414,0037,1,5,
415,0037,18,46,
416,0037,AT29,13,"{3: 3, 4: 3}"
417,0037,AT33,33,"{1: 1, 2: 2, 3: 3, 4: 3}"
418,0037,AT37,3,"{3: 3, 4: 4}"
419,0037,Final Exam,90,"[3, 1, 2, 3, 4]"
420,0038,Prior Assessment Test,90,"[0, 1, 4, 1, 0]"
421,0038,1,4,
422,0038,AT27,5,"{0: 1, 1: 1, 2: 4}"
423,0038,AT27,53,"{0: 1, 1: 3, 2: 4}"
424,0038,7,28,
425,0038,21,4,
426,0038,AT26,36,"{0: 4, 1: 3, 2: 4}"
427,0038,Final Exam,90,"[4, 3, 4, 2, 0]"
428,0039,Prior Assessment Test,90,"[0, 0, 0, 1, 2]"
429,0039,AT37,25,"{3: 2, 4: 2}"
430,0039,9,31,
431,0039,22,14,
432,0039,10,4,
433,0039,AT29,34,"{3: 4, 4: 3}"
434,0039,4,57,
435,0039,18,24,
436,0039,3,25,
437,0039,0,40,
438,0039,21,31,
439,0039,6,23,
440,0039,17,14,
441,0039,Final Exam,90,"[3, 4, 2, 4, 4]"
442,0040,Prior Assessment Test,90,"[0, 1, 0, 1, 0]"
443,0040,AT26,25,"{0: 0, 1: 2, 2: 0}"
444,0040,AT33,34,"{1: 4, 2: 1, 3: 1, 4: 0}"
445,0040,AT30,21,{3: 3}
446,0040,AT25,59,"{1: 4, 2: 1, 3: 4}"
447,0040,17,46,
448,0040,22,10,
449,0040,Final Exam,90,"[1, 4, 2, 4, 0]"
450,0041,Prior Assessment Test,90,"[1, 2, 0, 0, 3]"
451,0041,AT29,6,"{3: 1, 4: 3}"
452,0041,19,4,
453,0041,23,31,
454,0041,2,29,
455,0041,AT33,15,"{1: 4, 2: 0, 3: 2, 4: 3}"
456,0041,AT29,42,"{3: 3, 4: 3}"
457,0041,17,32,
458,0041,18,44,
459,0041,Final Exam,90,"[3, 4, 2, 4, 3]"
460,0042,Prior Assessment Test,90,"[2, 1, 1, 1, 1]"
461,0042,12,9,
462,0042,AT37,11,"{3: 2, 4: 1}"
463,0042,AT32,19,"{0: 4, 1: 1}"
464,0042,AT25,25,"{1: 1, 2: 1, 3: 3}"
465,0042,22,7,
466,0042,Final Exam,90,"[4, 2, 1, 3, 1]"
467,0043,Prior Assessment Test,90,"[2, 0, 0, 1, 0]"
468,0043,11,56,
469,0043,AT39,18,"{1: 1, 4: 0}"
470,0043,11,16,
471,0043,18,30,
472,0043,18,26,
473,0043,21,12,
474,0043,24,10,
475,0043,23,21,
476,0043,AT33,35,"{1: 3, 2: 4, 3: 4, 4: 0}"
477,0043,7,4,
478,0043,AT27,25,"{0: 4, 1: 4, 2: 4}"
479,0043,Final Exam,90,"[4, 4, 4, 4, 0]"
480,0044,Prior Assessment Test,90,"[1, 1, 0, 1, 0]"
481,0044,AT39,35,"{1: 1, 4: 2}"
482,0044,13,24,
483,0044,13,4,
484,0044,AT38,4,"{1: 1, 2: 0, 3: 3}"
485,0044,AT30,52,{3: 4}
486,0044,17,53,
487,0044,9,58,
488,0044,19,19,
489,0044,Final Exam,90,"[3, 2, 0, 4, 4]"
490,0045,Prior Assessment Test,90,"[0, 1, 1, 3, 0]"
491,0045,10,11,
492,0045,AT26,56,"{0: 1, 1: 2, 2: 2}"
493,0045,6,48,
494,0045,2,17,
495,0045,AT39,48,"{1: 4, 4: 0}"
496,0045,18,4,
497,0045,2,27,
498,0045,8,22,
499,0045,AT32,17,"{0: 4, 1: 4}"
500,0045,AT28,34,"{0: 4, 1: 4, 2: 4, 4: 3}"
501,0045,19,13,
502,0045,Final Exam,90,"[4, 4, 4, 4, 4]"
503,0046,Prior Assessment Test,90,"[2, 0, 0, 1, 2]"
504,0046,10,51,
505,0046,AT33,19,"{1: 1, 2: 0, 3: 3, 4: 2}"
506,0046,AT33,38,"{1: 2, 2: 0, 3: 3, 4: 2}"
507,0046,13,13,
508,0046,10,3,
509,0046,AT33,17,"{1: 3, 2: 1, 3: 4, 4: 2}"
510,0046,18,1,
511,0046,AT27,15,"{0: 2, 1: 4, 2: 1}"
512,0046,11,1,
513,0046,10,1,
514,0046,7,9,
515,0046,4,2,
516,0046,Final Exam,90,"[3, 4, 4, 4, 3]"
517,0047,Prior Assessment Test,90,"[0, 0, 4, 0, 3]"
518,0047,15,2,
519,0047,AT27,41,"{0: 1, 1: 0, 2: 4}"
520,0047,20,9,
521,0047,19,4,
522,0047,AT35,1,"{1: 2, 2: 4, 3: 1, 4: 3}"
523,0047,10,8,
524,0047,21,6,
525,0047,Final Exam,90,"[2, 2, 4, 3, 3]"
526,0048,Prior Assessment Test,90,"[4, 0, 0, 1, 1]"
527,0048,AT32,45,"{0: 4, 1: 1}"
528,0048,AT25,51,"{1: 1, 2: 1, 3: 1}"
529,0048,17,54,
530,0048,23,13,
531,0048,16,27,
532,0048,Final Exam,90,"[4, 3, 1, 4, 1]"
533,0049,Prior Assessment Test,90,"[0, 0, 1, 1, 1]"
534,0049,AT30,33,{3: 4}
535,0049,AT39,4,"{1: 0, 4: 2}"
536,0049,22,8,
537,0049,AT25,27,"{1: 1, 2: 2, 3: 4}"
538,0049,AT38,2,"{1: 2, 2: 2, 3: 4}"
539,0049,AT39,46,"{1: 2, 4: 3}"
540,0049,18,30,
541,0049,AT35,6,"{1: 2, 2: 3, 3: 4, 4: 4}"
542,0049,Final Exam,90,"[0, 2, 3, 4, 4]"
543,0050,Prior Assessment Test,90,"[1, 0, 1, 0, 1]"
544,0050,AT31,27,"{0: 2, 4: 1}"
545,0050,AT37,9,"{3: 0, 4: 2}"
546,0050,AT29,25,"{3: 1, 4: 2}"
547,0050,AT30,21,{3: 4}
548,0050,AT28,49,"{0: 2, 1: 0, 2: 2, 4: 2}"
549,0050,AT32,18,"{0: 3, 1: 0}"
550,0050,7,60,
551,0050,4,48,
552,0050,5,4,
553,0050,Final Exam,90,"[4, 0, 3, 4, 3]"
554,0051,Prior Assessment Test,90,"[0, 2, 2, 1, 1]"
555,0051,17,24,
556,0051,15,47,
557,0051,13,35,
558,0051,AT25,11,"{1: 2, 2: 4, 3: 4}"
559,0051,17,1,
560,0051,9,25,
561,0051,9,26,
562,0051,Final Exam,90,"[0, 3, 4, 4, 3]"
563,0052,Prior Assessment Test,90,"[0, 0, 1, 1, 1]"
564,0052,AT30,60,{3: 3}
565,0052,19,41,
566,0052,22,14,
567,0052,AT39,2,"{1: 1, 4: 1}"
568,0052,9,3,
569,0052,AT39,31,"{1: 2, 4: 3}"
570,0052,4,1,
571,0052,AT39,10,"{1: 2, 4: 4}"
572,0052,Final Exam,90,"[1, 2, 2, 4, 4]"
573,0053,Prior Assessment Test,90,"[2, 1, 0, 0, 1]"
574,0053,15,5,
575,0053,17,18,
576,0053,7,36,
577,0053,6,23,
578,0053,AT30,1,{3: 3}
579,0053,AT34,11,"{0: 3, 1: 3, 2: 1}"
580,0053,8,2,
581,0053,13,28,
582,0053,10,13,
583,0053,Final Exam,90,"[4, 4, 1, 4, 1]"
584,0054,Prior Assessment Test,90,"[0, 2, 0, 1, 0]"
585,0054,AT39,50,"{1: 3, 4: 0}"
586,0054,AT33,5,"{1: 4, 2: 0, 3: 2, 4: 0}"
587,0054,17,12,
588,0054,15,3,
589,0054,6,7,
590,0054,8,10,
591,0054,22,56,
592,0054,12,33,
593,0054,AT31,36,"{0: 4, 4: 1}"
594,0054,13,26,
595,0054,3,53,
596,0054,AT28,45,"{0: 4, 1: 4, 2: 4, 4: 3}"
597,0054,9,53,
598,0054,Final Exam,90,"[4, 4, 4, 4, 4]"
599,0055,Prior Assessment Test,90,"[0, 1, 3, 3, 1]"
600,0055,AT33,27,"{1: 3, 2: 3, 3: 3, 4: 1}"
601,0055,21,23,
602,0055,1,33,
603,0055,AT38,17,"{1: 4, 2: 3, 3: 4}"
604,0055,24,7,
605,0055,8,41,
606,0055,0,40,
607,0055,Final Exam,90,"[3, 4, 4, 4, 1]"
608,0056,Prior Assessment Test,90,"[0, 0, 1, 1, 0]"
609,0056,19,23,
610,0056,1,14,
611,0056,7,44,
612,0056,AT25,2,"{1: 1, 2: 4, 3: 1}"
613,0056,AT33,18,"{1: 1, 2: 4, 3: 1, 4: 1}"
614,0056,23,57,
615,0056,AT29,4,"{3: 1, 4: 2}"
616,0056,16,56,
617,0056,0,38,
618,0056,21,20,
619,0056,AT38,48,"{1: 4, 2: 4, 3: 3}"
620,0056,Final Exam,90,"[1, 4, 4, 3, 2]"
621,0057,Prior Assessment Test,90,"[2, 1, 1, 1, 0]"
622,0057,AT32,1,"{0: 3, 1: 1}"
623,0057,AT28,41,"{0: 3, 1: 1, 2: 1, 4: 1}"
624,0057,23,38,
625,0057,AT32,16,"{0: 3, 1: 2}"
626,0057,9,17,
627,0057,14,13,
628,0057,AT36,1,"{0: 4, 1: 4, 4: 2}"
629,0057,Final Exam,90,"[4, 4, 1, 4, 2]"
630,0058,Prior Assessment Test,90,"[1, 0, 1, 1, 1]"
631,0058,17,1,
632,0058,AT25,1,"{1: 2, 2: 1, 3: 2}"
633,0058,AT37,36,"{3: 2, 4: 2}"
634,0058,AT37,45,"{3: 2, 4: 4}"
635,0058,AT39,5,"{1: 3, 4: 4}"
636,0058,AT30,1,{3: 3}
637,0058,AT28,2,"{0: 2, 1: 4, 2: 1, 4: 4}"
638,0058,22,25,
639,0058,23,6,
640,0058,Final Exam,90,"[2, 4, 2, 4, 4]"
641,0059,Prior Assessment Test,90,"[0, 2, 1, 1, 0]"
642,0059,AT30,48,{3: 3}
643,0059,2,58,
644,0059,0,31,
645,0059,AT25,26,"{1: 2, 2: 4, 3: 4}"
646,0059,AT26,10,"{0: 1, 1: 3, 2: 4}"
647,0059,4,13,
648,0059,23,37,
649,0059,Final Exam,90,"[1, 4, 4, 4, 1]"
650,0060,Prior Assessment Test,90,"[1, 2, 3, 0, 1]"
651,0060,AT31,33,"{0: 1, 4: 2}"
652,0060,AT34,12,"{0: 2, 1: 2, 2: 3}"
653,0060,AT37,1,"{3: 1, 4: 2}"
654,0060,AT30,1,{3: 4}
655,0060,22,3,
656,0060,6,24,
657,0060,0,27,
658,0060,19,40,
659,0060,Final Exam,90,"[3, 4, 4, 4, 2]"
