ID,Trace of Learning,Learning Time
25.0,"[12, 13, 5, 18, 7, 19]","[77, 43, 93, 53, 24, 37]"
26.0,"[5, 18, 7, 12, 13]","[94, 50, 24, 76, 45]"
27.0,"[12, 5, 18, 7, 13, 19, 24, 6, 3, 17, 9, 2, 4, 20, 1, 21, 14, 8]","[77, 96, 49, 25, 43, 37, 7, 80, 19, 99, 65, 45, 74, 10, 79, 45, 57, 16]"
28.0,"[5, 18, 7, 12, 13, 24, 19, 6, 3, 17, 9, 2, 4, 21]","[92, 49, 26, 74, 43, 8, 38, 83, 19, 96, 65, 44, 78, 44]"
29.0,"[5, 18, 12, 7, 13, 19, 24, 3, 17, 9, 6, 2, 4, 20, 21]","[92, 51, 77, 27, 42, 40, 8, 19, 99, 65, 82, 47, 75, 13, 45]"
30.0,"[12, 5, 13, 18, 24, 19, 6, 7, 3, 17, 9, 2, 4, 20, 21]","[77, 96, 42, 51, 9, 39, 81, 24, 22, 96, 65, 45, 75, 12, 46]"
31.0,"[5, 18, 12, 13, 7, 19, 3, 24, 17, 6, 9]","[95, 49, 77, 44, 25, 39, 21, 8, 97, 83, 62]"
32.0,"[5, 18, 12, 7, 13, 19, 3, 17, 24, 9, 6, 2, 4, 20, 21]","[92, 49, 74, 23, 42, 40, 21, 99, 7, 65, 80, 46, 75, 10, 45]"
33.0,"[5, 18, 7, 12, 13, 19, 24, 3, 17, 9, 6]","[96, 49, 27, 75, 44, 40, 6, 20, 96, 63, 81]"
34.0,"[12, 5, 18, 13, 19, 7, 24, 6, 3, 17, 9, 2, 4, 21, 8, 20, 1, 16, 14, 10]","[76, 94, 49, 43, 36, 23, 5, 80, 18, 97, 61, 46, 78, 42, 16, 11, 80, 84, 58, 20]"
35.0,"[12, 5, 13, 19, 24, 18, 6, 7, 3, 17, 9, 2, 4, 20, 21, 8]","[75, 95, 41, 40, 5, 49, 84, 24, 19, 99, 64, 46, 76, 14, 46, 12]"
36.0,"[12, 13, 5, 18, 7, 24, 19, 3, 17]","[78, 41, 92, 51, 27, 5, 39, 19, 99]"
37.0,"[12, 13, 24, 5, 19]","[74, 41, 6, 92, 38]"
38.0,"[5, 12, 13, 19, 24, 18, 6, 7, 3, 17, 9, 2]","[96, 78, 42, 37, 7, 49, 81, 27, 21, 98, 61, 43]"
39.0,"[12, 5, 18, 13, 7, 19, 24, 3, 17]","[78, 95, 49, 41, 24, 39, 5, 18, 97]"
40.0,"[5, 12, 13, 18, 19, 7, 24, 6, 3, 17, 9]","[95, 74, 42, 51, 36, 26, 5, 82, 22, 98, 61]"
41.0,"[5, 18, 12, 7, 13, 24, 6, 19, 3, 17, 9, 2, 4]","[96, 50, 76, 27, 43, 9, 80, 39, 20, 97, 63, 44, 77]"
42.0,"[5, 12, 18, 7, 13, 24, 6, 19, 3, 17, 9]","[95, 75, 49, 23, 44, 9, 84, 36, 21, 98, 65]"
43.0,"[12, 13, 24, 5, 18, 6, 19, 7]","[77, 45, 7, 95, 50, 82, 39, 24]"
44.0,"[12, 13, 5, 24, 19, 18, 7, 3, 17, 6, 9, 2, 4, 21, 20, 8, 1, 16]","[75, 43, 94, 6, 39, 49, 23, 18, 98, 80, 61, 46, 78, 42, 12, 13, 82, 84]"
45.0,"[5, 18, 7, 12, 13, 19, 3, 17]","[93, 51, 25, 78, 41, 36, 19, 96]"
46.0,"[5, 18, 7, 12, 13, 24, 6, 19, 3, 17, 9]","[92, 49, 24, 74, 44, 8, 81, 37, 20, 100, 64]"
47.0,"[5, 12, 13, 24, 18, 6, 19, 7, 3, 17, 9, 2, 4, 20]","[94, 74, 45, 8, 53, 80, 39, 26, 18, 96, 63, 45, 74, 13]"
48.0,"[12, 5, 18, 13, 7, 19, 24, 6, 3, 17, 9, 2]","[76, 93, 52, 41, 26, 39, 8, 80, 20, 99, 62, 45]"
49.0,"[12, 13, 24, 5, 19, 18, 6, 7]","[75, 45, 8, 94, 39, 53, 81, 23]"
50.0,"[12, 13, 5, 24, 18, 6, 19, 7, 3, 17, 9, 2]","[78, 43, 94, 9, 52, 84, 40, 26, 21, 98, 62, 44]"
51.0,"[5, 18, 7, 12, 13, 24]","[95, 50, 23, 74, 44, 7]"
52.0,"[12, 13, 5, 18, 7, 19, 3, 24, 6, 17, 9, 2, 4, 20, 21, 1, 8]","[76, 43, 96, 52, 27, 40, 18, 6, 83, 99, 61, 43, 74, 14, 44, 81, 15]"
53.0,"[12, 13, 24, 5, 18, 19, 7, 3]","[78, 43, 9, 94, 49, 39, 25, 18]"
54.0,"[12, 13, 5, 19, 18, 7, 24, 3, 17]","[77, 42, 94, 38, 53, 24, 6, 21, 97]"
55.0,"[5, 12, 13, 24, 19, 18, 6]","[94, 78, 43, 6, 38, 52, 80]"
56.0,"[12, 13, 24, 5, 19, 18]","[75, 44, 6, 93, 40, 50]"
57.0,"[5, 12, 13, 19, 18]","[96, 75, 42, 40, 51]"
58.0,"[5, 12, 13, 24, 19, 18, 6]","[96, 78, 42, 7, 38, 50, 81]"
59.0,"[12, 13, 5, 18, 24, 6, 7, 19, 3, 17, 9, 2, 4, 20, 1, 14, 21, 8, 16, 23]","[76, 44, 95, 53, 7, 84, 27, 36, 18, 99, 61, 45, 76, 12, 79, 57, 44, 15, 84, 66]"
60.0,"[5, 12, 13, 24, 19, 18, 7, 6]","[96, 78, 42, 8, 37, 51, 23, 84]"
61.0,"[5, 12, 13, 18, 7, 19, 3, 24, 17, 6, 9, 2, 4, 21, 20, 8, 1, 14, 23]","[96, 78, 43, 52, 24, 40, 21, 6, 96, 80, 64, 44, 76, 43, 13, 16, 79, 60, 69]"
62.0,"[5, 12, 18, 7, 13, 19]","[92, 75, 50, 23, 41, 39]"
63.0,"[12, 13, 5, 18, 19, 24, 7, 6]","[78, 44, 95, 52, 40, 8, 27, 84]"
64.0,"[12, 5, 13, 18, 7, 24, 19, 6, 3, 17, 9, 2, 4, 21, 8, 20, 1]","[78, 92, 43, 51, 24, 9, 40, 84, 19, 100, 62, 43, 75, 44, 16, 13, 80]"
65.0,"[5, 12, 13, 19, 24, 18, 7, 3, 6, 17, 9, 2, 4, 21, 8, 20, 1]","[96, 74, 43, 37, 9, 50, 25, 18, 82, 96, 65, 43, 75, 46, 14, 10, 79]"
66.0,"[12, 5, 18, 7, 13, 24, 19, 3, 17, 6, 9, 2, 4, 21, 20, 8, 1]","[75, 96, 49, 26, 44, 9, 38, 18, 98, 82, 61, 43, 75, 42, 14, 16, 78]"
67.0,"[12, 5, 13, 24, 19, 18, 7, 6, 3, 17, 9, 2, 4, 21]","[74, 96, 44, 8, 38, 49, 26, 81, 19, 99, 62, 44, 76, 42]"
68.0,"[12, 13, 5, 19, 18, 7, 3, 17, 24, 9, 6, 2, 4, 20, 21, 8, 1, 23]","[75, 44, 92, 38, 52, 23, 18, 97, 9, 63, 80, 46, 76, 14, 46, 12, 79, 68]"
69.0,"[5, 12, 13, 18, 24, 7, 6, 19, 3, 17]","[93, 75, 44, 53, 8, 25, 84, 39, 21, 96]"
70.0,"[12, 13, 5, 19, 18, 24, 6, 7, 3, 17, 9, 2, 4, 21, 8, 20, 1]","[74, 43, 95, 39, 52, 7, 84, 23, 21, 98, 62, 47, 78, 45, 13, 10, 81]"
71.0,"[12, 13, 24, 5, 18, 6, 7, 19, 3, 17, 9]","[78, 44, 8, 92, 49, 84, 25, 39, 19, 99, 61]"
72.0,"[12, 5, 13, 24, 18, 7, 19, 3, 6]","[76, 92, 45, 5, 51, 26, 36, 18, 83]"
73.0,"[12, 13, 5, 19, 24, 18, 6, 7, 3, 17, 9, 2, 4, 20, 1, 14]","[75, 43, 94, 38, 6, 51, 83, 24, 22, 100, 62, 47, 74, 10, 82, 57]"
74.0,"[12, 13, 24, 5, 18, 6, 19, 7]","[74, 45, 6, 95, 50, 80, 40, 24]"
75.0,"[5, 18, 7, 12, 13, 19, 24, 6, 3, 17, 9, 2, 4, 21, 8, 20, 1, 23, 14]","[94, 50, 27, 76, 45, 37, 9, 80, 21, 99, 64, 46, 76, 43, 13, 11, 82, 67, 60]"
76.0,"[12, 5, 18, 13, 19, 7, 3, 24]","[74, 92, 49, 41, 40, 27, 22, 9]"
77.0,"[12, 5, 13, 24, 18, 6, 19, 7, 3, 17, 9, 2, 4, 20, 1, 14, 21, 8, 16, 10]","[76, 95, 44, 8, 53, 82, 38, 25, 20, 98, 63, 46, 76, 10, 81, 56, 44, 15, 86, 20]"
78.0,"[12, 13, 5, 18, 7, 24, 19, 3, 17, 6, 9, 2, 4, 21, 20, 1, 14, 8]","[74, 44, 95, 49, 23, 5, 40, 18, 96, 80, 63, 43, 77, 46, 12, 82, 59, 16]"
79.0,"[5, 18, 7, 12, 13, 24, 6, 19, 3, 17, 9, 2, 4, 20, 1, 21, 14, 8]","[92, 53, 25, 74, 41, 8, 81, 38, 22, 97, 63, 46, 77, 12, 79, 42, 56, 15]"
80.0,"[5, 12, 18, 7, 13, 24, 19, 3, 17, 9, 6]","[94, 78, 51, 23, 44, 8, 37, 18, 96, 63, 84]"
81.0,"[12, 13, 24, 5, 19, 18, 6, 7, 3, 17, 9]","[77, 41, 8, 95, 38, 52, 83, 26, 18, 100, 62]"
82.0,"[5, 18, 12, 7, 13]","[96, 53, 78, 23, 42]"
83.0,"[5, 12, 18, 13, 19, 24, 7, 3, 17, 9]","[93, 78, 50, 42, 36, 9, 26, 18, 96, 61]"
84.0,"[12, 13, 24, 5, 19, 18, 6, 7, 3, 17, 9, 2, 4, 20, 21, 8, 1, 23, 16, 14]","[78, 43, 5, 96, 36, 50, 81, 25, 19, 96, 63, 43, 76, 10, 43, 12, 80, 67, 87, 56]"
85.0,"[5, 18, 12, 7, 13, 19, 24, 6, 3, 17, 9]","[96, 53, 74, 25, 43, 38, 6, 81, 22, 99, 64]"
86.0,"[5, 12, 13, 24, 19, 18, 6, 7, 3, 17, 9, 2, 4]","[96, 77, 45, 6, 38, 51, 82, 25, 19, 97, 64, 43, 76]"
87.0,"[12, 5, 13, 24, 19, 18, 7, 3, 17, 9]","[78, 93, 42, 7, 39, 51, 25, 20, 96, 65]"
88.0,"[5, 18, 12, 7, 13, 19, 3, 24, 6, 17, 9, 2, 4, 20, 21, 8, 1, 14, 23, 11]","[92, 49, 77, 26, 42, 38, 20, 6, 84, 99, 63, 43, 78, 11, 42, 16, 79, 59, 68, 34]"
89.0,"[12, 13, 24, 5, 18, 6, 7, 19, 3, 17, 9, 2, 4]","[74, 43, 8, 94, 52, 82, 24, 38, 19, 99, 62, 47, 77]"
90.0,"[12, 13, 5, 18, 19, 7, 3, 17, 24, 6, 9, 2, 4, 20, 21, 1, 14, 8, 23]","[76, 41, 92, 49, 40, 24, 18, 97, 9, 81, 63, 44, 75, 10, 46, 78, 58, 16, 67]"
91.0,"[12, 5, 13, 24, 18, 19, 6, 7, 3, 17, 9, 2, 4, 21, 8, 20, 1, 16]","[78, 96, 44, 7, 53, 37, 81, 23, 19, 100, 61, 45, 78, 46, 16, 11, 80, 85]"
92.0,"[5, 18, 7, 12, 13]","[92, 52, 25, 74, 42]"
93.0,"[5, 12, 13, 24, 18, 6, 19, 7, 3, 17, 9]","[96, 76, 41, 6, 52, 81, 37, 23, 22, 98, 61]"
94.0,"[12, 13, 24, 5, 18, 7, 19, 6]","[78, 41, 6, 93, 53, 27, 40, 84]"
95.0,"[12, 13, 5, 18, 7, 24, 19, 6]","[77, 45, 96, 50, 26, 7, 40, 84]"
96.0,"[5, 12, 18, 13, 7, 24, 6, 19, 3, 17, 9, 2, 4, 20, 1]","[95, 76, 53, 43, 23, 8, 80, 38, 20, 97, 61, 45, 75, 14, 79]"
97.0,"[12, 13, 24, 5, 19, 18, 7, 6, 3, 17, 9, 2, 4, 20, 1, 21, 8, 14, 16]","[75, 42, 9, 95, 36, 51, 25, 83, 19, 97, 62, 46, 76, 11, 82, 46, 15, 57, 85]"
98.0,"[5, 18, 12, 13, 19, 7, 24, 6, 3, 17, 9, 2]","[93, 53, 74, 43, 36, 25, 8, 83, 20, 100, 65, 43]"
99.0,"[12, 13, 24, 5, 19, 18, 6, 7, 3]","[75, 45, 9, 92, 36, 51, 83, 27, 21]"
100.0,"[12, 13, 5, 24, 18]","[74, 43, 96, 9, 49]"
101.0,"[12, 5, 18, 13, 24, 7, 19, 6]","[77, 94, 50, 43, 7, 27, 40, 82]"
102.0,"[12, 13, 24, 5, 18, 6, 7, 19, 3, 17, 9, 2, 4, 20, 21, 8, 1, 14, 16]","[78, 41, 9, 92, 50, 83, 24, 38, 22, 100, 63, 44, 75, 13, 45, 13, 80, 56, 86]"
103.0,"[12, 13, 24, 5, 18]","[78, 44, 9, 94, 51]"
104.0,"[12, 5, 13, 19, 24, 18, 6, 7, 3]","[78, 95, 42, 37, 6, 49, 81, 25, 22]"
105.0,"[12, 5, 18, 7, 13, 24, 6, 19]","[74, 93, 49, 26, 44, 8, 84, 37]"
106.0,"[5, 12, 13, 24, 18, 19, 6, 7, 3, 17, 9, 2, 4, 21]","[95, 78, 45, 8, 51, 36, 81, 24, 21, 97, 62, 47, 76, 46]"
107.0,"[12, 5, 18, 13, 19, 24, 7, 6, 3, 17]","[74, 94, 52, 44, 40, 7, 23, 80, 22, 100]"
108.0,"[5, 18, 12, 7, 13, 19, 24, 6]","[93, 53, 78, 24, 42, 39, 8, 83]"
109.0,"[5, 18, 12, 13, 24, 7, 6]","[96, 53, 74, 45, 5, 24, 84]"
110.0,"[5, 18, 7, 12, 13, 19, 3, 17, 24, 9, 6, 2]","[93, 50, 26, 74, 43, 38, 19, 96, 8, 62, 82, 47]"
111.0,"[5, 12, 18, 7, 13, 24, 6, 19, 3, 17, 9, 2]","[94, 76, 53, 23, 44, 8, 82, 36, 19, 98, 65, 45]"
112.0,"[5, 18, 12, 13, 19, 24, 7, 3, 6, 17]","[92, 49, 76, 43, 38, 7, 26, 21, 83, 98]"
113.0,"[12, 13, 24, 5, 19, 18, 7, 3, 6, 17, 9]","[75, 43, 9, 96, 39, 52, 27, 18, 84, 98, 63]"
114.0,"[5, 12, 13, 18, 19, 7]","[94, 75, 41, 51, 36, 27]"
115.0,"[12, 5, 18, 7, 13, 24, 19, 6, 3, 17, 9, 2, 4, 21, 8, 20, 1, 23]","[78, 93, 52, 25, 45, 8, 37, 80, 22, 100, 61, 45, 77, 45, 14, 10, 80, 67]"
116.0,"[12, 13, 5, 24, 19, 18, 6, 7, 3, 17, 9, 2, 4, 21, 20, 1, 14]","[78, 43, 93, 7, 38, 53, 82, 24, 20, 96, 63, 45, 74, 42, 10, 80, 58]"
117.0,"[12, 13, 5, 18, 24, 19, 6, 7, 3, 17, 9, 2, 4, 20]","[75, 45, 93, 49, 6, 38, 80, 26, 18, 100, 65, 43, 77, 11]"
118.0,"[5, 18, 7, 12, 13, 24, 19, 3, 6, 17, 9]","[93, 52, 25, 75, 44, 5, 37, 19, 82, 97, 62]"
119.0,"[5, 18, 12, 13, 19, 24, 7]","[93, 53, 78, 42, 37, 8, 23]"
120.0,"[12, 13, 24, 5, 19, 18, 7, 6, 3, 17, 9, 2, 4, 20, 21, 8]","[77, 45, 8, 93, 40, 52, 26, 83, 21, 99, 65, 46, 75, 14, 46, 16]"
121.0,"[12, 5, 18, 7, 13, 24, 6, 19, 3, 17, 9, 2, 4, 21, 20, 1]","[76, 95, 52, 24, 41, 7, 84, 40, 19, 100, 65, 45, 74, 42, 14, 81]"
122.0,"[12, 5, 18, 13, 24, 7, 6, 19, 3, 17, 9]","[77, 93, 51, 44, 7, 24, 84, 36, 18, 96, 65]"
123.0,"[12, 13, 5, 18, 7, 19, 3, 17, 24, 6, 9, 2]","[76, 42, 92, 49, 23, 39, 18, 99, 8, 82, 63, 44]"
124.0,"[12, 13, 24, 5, 19, 18, 6, 7, 3, 17]","[76, 42, 5, 92, 40, 53, 84, 26, 19, 99]"
125.0,"[12, 13, 24, 5, 19, 18, 7, 3, 6, 17, 9, 2, 4, 20, 21, 8, 1]","[74, 41, 9, 94, 37, 52, 26, 19, 82, 97, 62, 44, 75, 13, 44, 13, 81]"
126.0,"[5, 18, 12, 7, 13, 19, 3, 17, 24, 9, 6, 2, 4, 20, 1, 21]","[93, 51, 75, 24, 42, 36, 20, 98, 9, 64, 80, 45, 76, 12, 78, 43]"
127.0,"[12, 13, 5, 19, 24, 18, 6, 7, 3, 17, 9, 2, 4, 21]","[77, 44, 94, 37, 8, 53, 84, 26, 18, 96, 63, 47, 78, 44]"
128.0,"[12, 13, 24, 5, 19, 18, 6, 7, 3, 17, 9, 2, 4]","[78, 45, 8, 95, 36, 53, 81, 27, 18, 100, 62, 43, 78]"
129.0,"[12, 5, 13, 19, 18]","[74, 93, 43, 39, 51]"
130.0,"[12, 5, 13, 18, 19, 24, 6, 7, 3, 17]","[74, 92, 41, 49, 36, 6, 82, 24, 21, 99]"
131.0,"[12, 13, 5, 18, 19, 24, 6]","[75, 44, 95, 50, 37, 7, 84]"
132.0,"[12, 13, 24, 5, 19, 18, 7, 6, 3, 17, 9, 2, 4, 20, 21, 1, 8]","[74, 44, 5, 93, 36, 49, 25, 82, 19, 97, 64, 44, 76, 11, 42, 81, 13]"
133.0,"[12, 13, 5, 18, 19, 24, 7, 3, 6, 17]","[74, 42, 96, 52, 40, 5, 23, 21, 83, 99]"
134.0,"[5, 18, 7, 12, 13, 24, 6, 19, 3, 17, 9, 2, 4, 21, 8, 20]","[96, 51, 27, 77, 45, 5, 82, 37, 20, 99, 64, 47, 77, 45, 16, 11]"
135.0,"[5, 18, 12, 7, 13, 24, 19, 3, 6, 17, 9, 2, 4, 21, 8, 20, 1, 23, 16]","[96, 51, 75, 26, 43, 6, 38, 20, 81, 98, 61, 43, 77, 46, 14, 12, 81, 67, 84]"
136.0,"[12, 13, 24, 5, 19, 18, 6, 7, 3, 17]","[77, 45, 7, 92, 36, 50, 80, 27, 20, 99]"
137.0,"[5, 12, 13, 19, 18]","[96, 75, 42, 36, 53]"
138.0,"[5, 12, 13, 24, 19, 18, 6, 7, 3, 17, 9]","[95, 76, 45, 9, 38, 49, 81, 27, 22, 99, 63]"
139.0,"[5, 12, 18, 13, 19, 7, 24, 6, 3, 17, 9, 2, 4, 21, 8]","[93, 78, 53, 45, 38, 27, 9, 80, 22, 99, 65, 47, 78, 43, 15]"
140.0,"[5, 12, 18, 7, 13, 19, 3, 17, 24, 9, 6, 2, 4, 21, 8, 20, 1, 16, 14, 23]","[95, 77, 52, 24, 43, 39, 22, 96, 7, 61, 83, 45, 75, 45, 13, 10, 81, 85, 58, 68]"
141.0,"[12, 13, 5, 24, 19, 18, 6, 7, 3, 17, 9, 2, 4, 20, 1, 14, 21]","[77, 45, 93, 6, 37, 53, 84, 25, 20, 98, 65, 44, 74, 14, 81, 56, 43]"
142.0,"[12, 13, 24, 5, 19, 18]","[78, 43, 7, 93, 40, 49]"
143.0,"[5, 12, 13, 19, 18, 24, 7, 6, 3, 17, 9, 2, 4, 21, 8, 20, 1]","[94, 77, 45, 39, 49, 6, 27, 82, 20, 97, 61, 47, 76, 42, 14, 12, 78]"
144.0,"[5, 18, 7, 12, 13, 19, 3, 24, 6, 17, 9, 2, 4, 20, 1]","[92, 51, 25, 74, 44, 40, 20, 9, 84, 97, 65, 45, 74, 10, 82]"
145.0,"[12, 5, 13, 18, 24, 7, 19, 3, 17, 9, 6, 2, 4, 20, 21, 1]","[76, 95, 44, 51, 6, 25, 39, 19, 98, 61, 81, 45, 76, 11, 46, 81]"
146.0,"[5, 12, 13, 24, 19, 18, 6, 7, 3, 17, 9]","[96, 78, 42, 5, 37, 52, 81, 23, 22, 99, 65]"
147.0,"[12, 13, 5, 19, 18, 7, 3, 17, 9, 24, 6, 2, 4, 21, 20]","[74, 44, 95, 39, 53, 24, 19, 96, 61, 7, 84, 45, 77, 42, 10]"
148.0,"[12, 5, 13, 19, 24, 18, 7, 3, 6, 17, 9, 2, 4, 21, 20]","[74, 92, 42, 39, 9, 52, 25, 21, 84, 96, 63, 45, 77, 44, 12]"
149.0,"[12, 5, 13, 18, 19, 24]","[76, 92, 43, 50, 39, 5]"
150.0,"[5, 18, 7, 12, 13, 19, 24, 6, 3, 17, 9]","[96, 52, 24, 78, 41, 40, 9, 84, 21, 98, 64]"
151.0,"[5, 18, 7, 12, 13, 24, 19, 3, 6, 17, 9, 2, 4]","[95, 51, 26, 75, 41, 7, 37, 22, 81, 97, 64, 47, 76]"
152.0,"[12, 13, 24, 5, 18, 7, 6, 19, 3, 17, 9, 2, 4, 21, 8, 20, 1, 23, 16, 14]","[77, 42, 8, 93, 51, 24, 81, 38, 20, 98, 64, 46, 78, 45, 12, 10, 81, 67, 85, 57]"
153.0,"[5, 18, 7, 12, 13, 24, 19, 3, 17, 6, 9, 2]","[96, 50, 27, 74, 44, 9, 40, 18, 99, 81, 65, 44]"
154.0,"[12, 5, 18, 7, 13, 19, 3, 24, 17, 9, 6, 2, 4, 21, 20, 8, 1, 14, 16, 23]","[76, 94, 49, 26, 44, 40, 21, 5, 97, 65, 83, 44, 76, 45, 13, 16, 82, 56, 86, 68]"
155.0,"[5, 12, 13, 24, 18, 7, 19, 6, 3, 17, 9, 2, 4, 20]","[94, 74, 44, 8, 53, 25, 39, 80, 21, 100, 63, 45, 75, 10]"
156.0,"[12, 13, 5, 19, 18]","[76, 42, 94, 37, 50]"
157.0,"[5, 18, 7, 12, 13, 19, 24, 3, 6, 17, 9, 2, 4, 20, 21, 1, 8]","[92, 49, 25, 78, 44, 39, 8, 19, 82, 96, 65, 44, 74, 11, 44, 81, 16]"
158.0,"[12, 13, 5, 18, 7, 19, 24, 6, 3, 17, 9, 2, 4, 21, 20, 1, 8, 16, 23, 14]","[74, 45, 95, 51, 27, 39, 5, 82, 20, 100, 61, 47, 76, 42, 11, 82, 12, 87, 68, 57]"
159.0,"[5, 12, 18, 13, 7, 19, 24, 6, 3, 17, 9]","[92, 76, 50, 44, 24, 39, 7, 82, 21, 100, 64]"
160.0,"[5, 18, 7, 12, 13, 19, 3, 17, 9, 24, 6, 2]","[93, 53, 25, 77, 45, 37, 18, 100, 63, 6, 82, 43]"
161.0,"[12, 5, 13, 24, 18, 7, 19, 3, 6, 17, 9, 2, 4]","[76, 96, 41, 7, 52, 26, 39, 18, 84, 100, 63, 44, 75]"
162.0,"[5, 12, 13, 24, 19, 18, 7, 6, 3, 17, 9, 2, 4, 20]","[93, 76, 44, 7, 37, 51, 25, 82, 21, 97, 65, 44, 76, 11]"
163.0,"[12, 5, 18, 13, 7, 19, 24, 6, 3, 17, 9, 2, 4, 20, 21, 1, 14, 8, 16, 23]","[74, 92, 49, 43, 25, 39, 5, 81, 21, 97, 63, 46, 76, 14, 44, 79, 58, 14, 84, 66]"
164.0,"[5, 18, 7, 12, 13, 24, 19, 3, 6, 17, 9, 2, 4, 21, 20, 8, 1, 16, 14, 10]","[95, 52, 27, 74, 43, 5, 40, 19, 83, 98, 61, 44, 74, 42, 10, 15, 80, 88, 59, 20]"
165.0,"[5, 18, 7, 12, 13, 24, 6, 19, 3, 17, 9, 2, 4]","[94, 49, 26, 77, 45, 6, 84, 36, 18, 97, 61, 43, 74]"
166.0,"[5, 12, 13, 19, 24, 18, 7, 6, 3]","[96, 75, 43, 36, 7, 52, 26, 82, 19]"
167.0,"[5, 12, 18, 13, 7, 24, 19, 6, 3, 17, 9, 2, 4, 21, 8, 20, 1, 23, 16, 14]","[95, 77, 53, 44, 25, 6, 40, 81, 20, 99, 62, 46, 77, 44, 13, 14, 80, 68, 84, 57]"
168.0,"[5, 12, 13, 24, 19, 18, 7, 6, 3, 17, 9, 2, 4, 20, 1, 14, 21, 8, 23, 16]","[96, 76, 43, 9, 37, 50, 23, 84, 20, 99, 65, 43, 76, 13, 80, 57, 42, 14, 68, 87]"
169.0,"[12, 5, 13, 18, 19, 24, 7, 6, 3, 17, 9, 2]","[75, 95, 44, 51, 39, 7, 24, 84, 22, 96, 63, 46]"
