Student_ID,Action_Types,Cur_Proficiency
11,Final Exam,"[2, 2, 2, 2, 2]"
12,Prior Assessment Test,"[0, 0, 1, 0, 0]"
12,AT12,"{2: 2, 3: 1, 4: 1}"
12,AT14,{4: 1}
12,AT12,"{2: 2, 3: 1, 4: 1}"
12,AT12,"{2: 2, 3: 2, 4: 2}"
12,AT19,"{0: 2, 1: 2}"
12,Final Exam,"[2, 2, 2, 2, 2]"
13,Prior Assessment Test,"[1, 0, 0, 1, 1]"
13,AT12,"{2: 0, 3: 1, 4: 1}"
13,5,{}
13,AT13,{1: 1}
13,AT17,"{0: 2, 1: 2, 3: 2}"
13,10,{}
13,10,{}
13,AT12,"{2: 1, 3: 2, 4: 2}"
13,AT15,{2: 2}
13,Final Exam,"[2, 2, 2, 2, 2]"
14,Prior Assessment Test,"[2, 1, 0, 0, 0]"
14,AT18,"{1: 2, 2: 1, 3: 1}"
14,AT12,"{2: 1, 3: 1, 4: 0}"
14,AT12,"{2: 1, 3: 1, 4: 0}"
14,AT12,"{2: 1, 3: 1, 4: 0}"
14,AT12,"{2: 1, 3: 1, 4: 0}"
14,AT12,"{2: 1, 3: 1, 4: 0}"
14,AT12,"{2: 1, 3: 1, 4: 0}"
14,AT12,"{2: 1, 3: 1, 4: 0}"
14,Final Exam,"[2, 2, 1, 1, 0]"
15,Prior Assessment Test,"[0, 0, 0, 0, 1]"
15,AT18,"{1: 0, 2: 0, 3: 0}"
15,5,{}
15,AT18,"{1: 1, 2: 0, 3: 0}"
15,AT18,"{1: 2, 2: 2, 3: 2}"
15,6,{}
15,6,{}
15,3,{}
15,AT20,{4: 2}
15,Final Exam,"[1, 2, 2, 2, 2]"
16,Prior Assessment Test,"[0, 0, 0, 0, 1]"
16,AT12,"{2: 0, 3: 0, 4: 1}"
16,AT17,"{0: 2, 1: 1, 3: 1}"
16,5,{}
16,AT18,"{1: 2, 2: 2, 3: 2}"
16,AT20,{4: 1}
16,10,{}
16,AT14,{4: 2}
16,Final Exam,"[2, 2, 2, 2, 2]"
17,Prior Assessment Test,"[1, 0, 1, 1, 0]"
17,1,{}
17,AT19,"{0: 2, 1: 1}"
17,AT18,"{1: 1, 2: 2, 3: 2}"
17,6,{}
17,6,{}
17,AT13,{1: 1}
17,AT20,{4: 2}
17,AT13,{1: 1}
17,Final Exam,"[2, 1, 2, 2, 2]"
18,Prior Assessment Test,"[0, 0, 0, 0, 0]"
18,AT18,"{1: 1, 2: 1, 3: 1}"
18,6,{}
18,AT17,"{0: 1, 1: 2, 3: 1}"
18,10,{}
18,10,{}
18,1,{}
18,AT12,"{2: 2, 3: 2, 4: 2}"
18,AT19,"{0: 2, 1: 2}"
18,Final Exam,"[2, 2, 2, 2, 2]"
19,Prior Assessment Test,"[1, 0, 0, 1, 0]"
19,AT12,"{2: 0, 3: 2, 4: 1}"
19,AT20,{4: 2}
19,AT17,"{0: 1, 1: 0, 3: 2}"
19,1,{}
19,AT19,"{0: 1, 1: 1}"
19,AT16,{2: 0}
19,9,{}
19,AT19,"{0: 2, 1: 2}"
19,Final Exam,"[2, 2, 2, 2, 2]"
20,Prior Assessment Test,"[0, 0, 0, 0, 1]"
20,AT17,"{0: 0, 1: 0, 3: 0}"
20,AT17,"{0: 1, 1: 2, 3: 2}"
20,1,{}
20,10,{}
20,10,{}
20,AT14,{4: 2}
20,AT19,"{0: 2, 1: 2}"
20,AT16,{2: 2}
20,Final Exam,"[2, 2, 2, 2, 2]"
21,Prior Assessment Test,"[0, 0, 0, 1, 0]"
21,AT17,"{0: 1, 1: 0, 3: 2}"
21,AT18,"{1: 0, 2: 0, 3: 2}"
21,AT17,"{0: 2, 1: 1, 3: 2}"
21,AT18,"{1: 1, 2: 0, 3: 2}"
21,AT12,"{2: 1, 3: 2, 4: 1}"
21,5,{}
21,5,{}
21,AT18,"{1: 2, 2: 2, 3: 2}"
21,Final Exam,"[2, 2, 2, 2, 1]"
22,Prior Assessment Test,"[1, 0, 0, 1, 0]"
22,AT14,{4: 0}
22,1,{}
22,AT17,"{0: 2, 1: 0, 3: 1}"
22,AT12,"{2: 0, 3: 1, 4: 0}"
22,AT18,"{1: 2, 2: 2, 3: 2}"
22,6,{}
22,AT14,{4: 1}
22,AT14,{4: 2}
22,Final Exam,"[2, 2, 2, 2, 2]"
23,Prior Assessment Test,"[0, 0, 0, 0, 1]"
23,AT18,"{1: 1, 2: 1, 3: 1}"
23,AT12,"{2: 1, 3: 1, 4: 1}"
23,AT17,"{0: 0, 1: 1, 3: 2}"
23,1,{}
23,10,{}
23,10,{}
23,AT14,{4: 2}
23,2,{}
23,Final Exam,"[0, 1, 2, 2, 2]"
24,Prior Assessment Test,"[0, 0, 0, 0, 0]"
24,AT12,"{2: 0, 3: 0, 4: 0}"
24,AT12,"{2: 2, 3: 2, 4: 2}"
24,AT19,"{0: 1, 1: 2}"
24,AT19,"{0: 1, 1: 2}"
24,1,{}
24,3,{}
24,3,{}
24,AT19,"{0: 2, 1: 2}"
24,Final Exam,"[2, 2, 2, 2, 2]"
25,Prior Assessment Test,"[0, 0, 0, 1, 0]"
25,AT17,"{0: 1, 1: 1, 3: 2}"
25,3,{}
25,10,{}
25,10,{}
25,10,{}
25,5,{}
25,2,{}
25,AT19,"{0: 2, 1: 2}"
25,Final Exam,"[2, 2, 2, 2, 2]"
26,Prior Assessment Test,"[0, 0, 0, 0, 0]"
26,1,{}
26,5,{}
26,AT12,"{2: 2, 3: 1, 4: 2}"
26,AT17,"{0: 2, 1: 2, 3: 2}"
26,Final Exam,"[2, 2, 2, 2, 2]"
27,Prior Assessment Test,"[0, 0, 0, 0, 0]"
27,AT18,"{1: 1, 2: 0, 3: 0}"
27,AT17,"{0: 0, 1: 2, 3: 0}"
27,AT17,"{0: 0, 1: 2, 3: 0}"
27,AT12,"{2: 1, 3: 0, 4: 1}"
27,AT19,"{0: 0, 1: 2}"
27,3,{}
27,AT17,"{0: 1, 1: 2, 3: 0}"
27,AT17,"{0: 1, 1: 2, 3: 0}"
27,Final Exam,"[1, 2, 1, 0, 1]"
28,Prior Assessment Test,"[1, 0, 0, 0, 0]"
28,AT19,"{0: 1, 1: 0}"
28,AT14,{4: 1}
28,3,{}
28,AT18,"{1: 1, 2: 1, 3: 0}"
28,AT17,"{0: 2, 1: 1, 3: 0}"
28,5,{}
28,AT12,"{2: 1, 3: 0, 4: 1}"
28,AT18,"{1: 1, 2: 1, 3: 0}"
28,Final Exam,"[2, 1, 1, 0, 1]"
29,Prior Assessment Test,"[1, 0, 0, 0, 0]"
29,AT12,"{2: 2, 3: 0, 4: 1}"
29,AT12,"{2: 2, 3: 0, 4: 2}"
29,AT17,"{0: 1, 1: 1, 3: 0}"
29,AT17,"{0: 1, 1: 1, 3: 0}"
29,AT17,"{0: 1, 1: 1, 3: 0}"
29,AT17,"{0: 1, 1: 1, 3: 0}"
29,AT17,"{0: 2, 1: 2, 3: 2}"
29,Final Exam,"[2, 2, 2, 2, 2]"
30,Prior Assessment Test,"[0, 0, 0, 1, 0]"
30,AT19,"{0: 1, 1: 1}"
30,AT12,"{2: 1, 3: 1, 4: 0}"
30,AT17,"{0: 1, 1: 1, 3: 1}"
30,AT15,{2: 1}
30,AT17,"{0: 2, 1: 2, 3: 1}"
30,AT12,"{2: 1, 3: 1, 4: 0}"
30,AT12,"{2: 1, 3: 2, 4: 1}"
30,AT12,"{2: 2, 3: 2, 4: 2}"
30,Final Exam,"[2, 2, 2, 2, 2]"
31,Prior Assessment Test,"[1, 0, 0, 0, 0]"
31,AT12,"{2: 0, 3: 0, 4: 0}"
31,AT20,{4: 0}
31,AT17,"{0: 2, 1: 0, 3: 1}"
31,AT19,"{0: 2, 1: 0}"
31,AT12,"{2: 0, 3: 2, 4: 1}"
31,AT12,"{2: 0, 3: 2, 4: 2}"
31,AT18,"{1: 0, 2: 1, 3: 2}"
31,AT18,"{1: 1, 2: 2, 3: 2}"
31,Final Exam,"[2, 1, 2, 2, 2]"
32,Prior Assessment Test,"[0, 0, 0, 0, 0]"
32,5,{}
32,AT17,"{0: 2, 1: 2, 3: 0}"
32,AT12,"{2: 0, 3: 0, 4: 0}"
32,AT12,"{2: 1, 3: 0, 4: 0}"
32,AT12,"{2: 2, 3: 1, 4: 1}"
32,AT12,"{2: 2, 3: 2, 4: 2}"
32,Final Exam,"[2, 2, 2, 2, 2]"
33,Prior Assessment Test,"[0, 0, 0, 0, 0]"
33,AT17,"{0: 2, 1: 2, 3: 2}"
33,10,{}
33,AT12,"{2: 2, 3: 2, 4: 2}"
33,Final Exam,"[2, 2, 2, 2, 2]"
34,Prior Assessment Test,"[0, 0, 0, 1, 0]"
34,AT17,"{0: 0, 1: 0, 3: 1}"
34,AT17,"{0: 0, 1: 1, 3: 2}"
34,2,{}
34,AT19,"{0: 0, 1: 2}"
34,3,{}
34,6,{}
34,3,{}
34,AT19,"{0: 2, 1: 2}"
34,Final Exam,"[2, 2, 2, 2, 2]"
35,Prior Assessment Test,"[1, 1, 0, 0, 0]"
35,AT17,"{0: 2, 1: 2, 3: 1}"
35,AT12,"{2: 1, 3: 2, 4: 2}"
35,AT18,"{1: 2, 2: 1, 3: 2}"
35,9,{}
35,AT16,{2: 1}
35,AT16,{2: 2}
35,Final Exam,"[2, 2, 2, 2, 2]"
36,Prior Assessment Test,"[0, 1, 0, 1, 0]"
36,AT12,"{2: 1, 3: 2, 4: 1}"
36,AT18,"{1: 1, 2: 2, 3: 2}"
36,AT19,"{0: 1, 1: 2}"
36,3,{}
36,6,{}
36,6,{}
36,1,{}
36,AT17,"{0: 2, 1: 2, 3: 2}"
36,Final Exam,"[2, 2, 2, 2, 2]"
37,Prior Assessment Test,"[0, 0, 0, 0, 0]"
37,AT17,"{0: 1, 1: 1, 3: 1}"
37,3,{}
37,AT17,"{0: 2, 1: 2, 3: 1}"
37,AT12,"{2: 0, 3: 1, 4: 0}"
37,AT12,"{2: 1, 3: 2, 4: 2}"
37,2,{}
37,8,{}
37,AT16,{2: 2}
37,Final Exam,"[2, 2, 2, 2, 2]"
38,Prior Assessment Test,"[0, 0, 0, 1, 0]"
38,AT12,"{2: 0, 3: 2, 4: 1}"
38,5,{}
38,AT19,"{0: 2, 1: 2}"
38,10,{}
38,10,{}
38,AT12,"{2: 2, 3: 2, 4: 2}"
38,Final Exam,"[2, 2, 2, 2, 2]"
39,Prior Assessment Test,"[0, 0, 0, 0, 0]"
39,AT14,{4: 0}
39,AT20,{4: 1}
39,AT17,"{0: 0, 1: 0, 3: 1}"
39,2,{}
39,AT14,{4: 1}
39,AT17,"{0: 1, 1: 2, 3: 2}"
39,AT14,{4: 2}
39,AT19,"{0: 1, 1: 2}"
39,Final Exam,"[1, 2, 0, 2, 2]"
40,Prior Assessment Test,"[0, 0, 0, 0, 0]"
40,AT17,"{0: 2, 1: 2, 3: 1}"
40,AT12,"{2: 2, 3: 2, 4: 2}"
40,Final Exam,"[2, 2, 2, 2, 2]"
41,Prior Assessment Test,"[0, 0, 0, 0, 0]"
41,AT18,"{1: 2, 2: 2, 3: 2}"
41,1,{}
41,1,{}
41,AT19,"{0: 2, 1: 2}"
41,AT14,{4: 2}
41,Final Exam,"[2, 2, 2, 2, 2]"
42,Prior Assessment Test,"[0, 0, 0, 1, 0]"
42,AT13,{1: 0}
42,AT12,"{2: 2, 3: 2, 4: 2}"
42,AT19,"{0: 2, 1: 2}"
42,Final Exam,"[2, 2, 2, 2, 2]"
43,Prior Assessment Test,"[0, 0, 0, 0, 0]"
43,AT17,"{0: 0, 1: 0, 3: 0}"
43,AT16,{2: 1}
43,AT17,"{0: 0, 1: 2, 3: 0}"
43,AT12,"{2: 2, 3: 1, 4: 1}"
43,AT19,"{0: 0, 1: 2}"
43,6,{}
43,AT17,"{0: 0, 1: 2, 3: 2}"
43,AT20,{4: 2}
43,Final Exam,"[0, 2, 2, 2, 2]"
44,Prior Assessment Test,"[0, 0, 1, 0, 1]"
44,AT16,{2: 2}
44,AT12,"{2: 2, 3: 1, 4: 1}"
44,AT12,"{2: 2, 3: 2, 4: 2}"
44,AT17,"{0: 1, 1: 1, 3: 2}"
44,AT19,"{0: 2, 1: 2}"
44,Final Exam,"[2, 2, 2, 2, 2]"
45,Prior Assessment Test,"[0, 0, 0, 0, 1]"
45,AT17,"{0: 0, 1: 0, 3: 0}"
45,AT17,"{0: 0, 1: 2, 3: 1}"
45,3,{}
45,AT12,"{2: 1, 3: 2, 4: 1}"
45,5,{}
45,10,{}
45,AT12,"{2: 2, 3: 2, 4: 2}"
45,AT17,"{0: 2, 1: 2, 3: 2}"
45,Final Exam,"[2, 2, 2, 2, 2]"
46,Prior Assessment Test,"[0, 0, 0, 0, 0]"
46,2,{}
46,AT12,"{2: 1, 3: 1, 4: 0}"
46,3,{}
46,5,{}
46,AT20,{4: 1}
46,AT12,"{2: 2, 3: 2, 4: 2}"
46,AT19,"{0: 1, 1: 0}"
46,AT17,"{0: 1, 1: 0, 3: 2}"
46,Final Exam,"[1, 0, 2, 2, 2]"
47,Prior Assessment Test,"[0, 0, 0, 0, 0]"
47,AT17,"{0: 0, 1: 0, 3: 1}"
47,AT12,"{2: 1, 3: 2, 4: 2}"
47,AT19,"{0: 0, 1: 0}"
47,AT19,"{0: 0, 1: 1}"
47,AT12,"{2: 2, 3: 2, 4: 2}"
47,AT19,"{0: 0, 1: 2}"
47,1,{}
47,AT17,"{0: 2, 1: 2, 3: 2}"
47,Final Exam,"[2, 2, 2, 2, 2]"
48,Prior Assessment Test,"[0, 0, 0, 0, 0]"
48,2,{}
48,AT12,"{2: 1, 3: 0, 4: 0}"
48,5,{}
48,AT19,"{0: 2, 1: 2}"
48,AT12,"{2: 2, 3: 0, 4: 1}"
48,AT12,"{2: 2, 3: 0, 4: 1}"
48,AT12,"{2: 2, 3: 0, 4: 1}"
48,AT12,"{2: 2, 3: 2, 4: 2}"
48,Final Exam,"[2, 2, 2, 2, 2]"
49,Prior Assessment Test,"[2, 1, 0, 0, 1]"
49,10,{}
49,AT18,"{1: 2, 2: 0, 3: 1}"
49,AT12,"{2: 0, 3: 1, 4: 1}"
49,AT12,"{2: 0, 3: 1, 4: 2}"
49,AT12,"{2: 0, 3: 1, 4: 2}"
49,AT18,"{1: 2, 2: 2, 3: 2}"
49,Final Exam,"[2, 2, 2, 2, 2]"
50,Prior Assessment Test,"[0, 0, 0, 0, 0]"
50,AT12,"{2: 0, 3: 0, 4: 0}"
50,AT17,"{0: 0, 1: 1, 3: 0}"
50,AT18,"{1: 1, 2: 0, 3: 0}"
50,AT17,"{0: 1, 1: 1, 3: 1}"
50,AT20,{4: 1}
50,AT19,"{0: 2, 1: 2}"
50,AT12,"{2: 2, 3: 1, 4: 2}"
50,AT11,{3: 2}
50,Final Exam,"[2, 2, 2, 2, 2]"
51,Prior Assessment Test,"[0, 1, 0, 0, 0]"
51,AT18,"{1: 2, 2: 2, 3: 1}"
51,AT17,"{0: 0, 1: 2, 3: 2}"
51,1,{}
51,AT20,{4: 0}
51,1,{}
51,6,{}
51,10,{}
51,AT20,{4: 0}
51,Final Exam,"[1, 2, 2, 2, 0]"
52,Prior Assessment Test,"[0, 0, 0, 0, 0]"
52,AT12,"{2: 2, 3: 0, 4: 0}"
52,3,{}
52,AT12,"{2: 2, 3: 2, 4: 2}"
52,AT19,"{0: 1, 1: 0}"
52,AT19,"{0: 2, 1: 2}"
52,Final Exam,"[2, 2, 2, 2, 2]"
53,Prior Assessment Test,"[0, 0, 0, 1, 0]"
53,AT12,"{2: 0, 3: 1, 4: 0}"
53,AT12,"{2: 2, 3: 1, 4: 0}"
53,AT17,"{0: 1, 1: 1, 3: 1}"
53,AT17,"{0: 2, 1: 2, 3: 2}"
53,10,{}
53,6,{}
53,AT12,"{2: 2, 3: 2, 4: 2}"
53,Final Exam,"[2, 2, 2, 2, 2]"
54,Prior Assessment Test,"[0, 1, 0, 0, 0]"
54,AT12,"{2: 1, 3: 2, 4: 1}"
54,3,{}
54,AT19,"{0: 0, 1: 1}"
54,6,{}
54,5,{}
54,AT19,"{0: 0, 1: 2}"
54,AT12,"{2: 2, 3: 2, 4: 2}"
54,AT19,"{0: 1, 1: 2}"
54,Final Exam,"[1, 2, 2, 2, 2]"
55,Prior Assessment Test,"[0, 0, 0, 0, 1]"
55,AT19,"{0: 0, 1: 0}"
55,3,{}
55,AT17,"{0: 0, 1: 0, 3: 0}"
55,AT14,{4: 2}
55,8,{}
55,AT18,"{1: 0, 2: 1, 3: 0}"
55,AT19,"{0: 0, 1: 0}"
55,AT17,"{0: 0, 1: 0, 3: 0}"
55,Final Exam,"[0, 0, 1, 0, 2]"
56,Prior Assessment Test,"[1, 0, 1, 0, 1]"
56,6,{}
56,AT12,"{2: 1, 3: 1, 4: 2}"
56,AT17,"{0: 1, 1: 1, 3: 1}"
56,AT17,"{0: 2, 1: 2, 3: 1}"
56,AT12,"{2: 2, 3: 2, 4: 2}"
56,Final Exam,"[2, 2, 2, 2, 2]"
57,Prior Assessment Test,"[0, 0, 0, 0, 0]"
57,AT17,"{0: 0, 1: 0, 3: 1}"
57,10,{}
57,1,{}
57,AT18,"{1: 0, 2: 2, 3: 2}"
57,3,{}
57,3,{}
57,AT12,"{2: 2, 3: 2, 4: 2}"
57,AT19,"{0: 2, 1: 0}"
57,Final Exam,"[2, 0, 2, 2, 2]"
58,Prior Assessment Test,"[0, 0, 0, 1, 0]"
58,AT12,"{2: 1, 3: 1, 4: 0}"
58,AT17,"{0: 0, 1: 0, 3: 1}"
58,3,{}
58,AT19,"{0: 1, 1: 0}"
58,AT18,"{1: 2, 2: 2, 3: 2}"
58,1,{}
58,AT14,{4: 1}
58,AT14,{4: 2}
58,Final Exam,"[1, 2, 2, 2, 2]"
59,Prior Assessment Test,"[0, 1, 0, 0, 1]"
59,AT17,"{0: 2, 1: 2, 3: 2}"
59,10,{}
59,10,{}
59,AT12,"{2: 2, 3: 2, 4: 2}"
59,Final Exam,"[2, 2, 2, 2, 2]"
60,Prior Assessment Test,"[0, 0, 0, 0, 1]"
60,AT20,{4: 1}
60,AT12,"{2: 0, 3: 0, 4: 1}"
60,AT12,"{2: 0, 3: 0, 4: 1}"
60,AT12,"{2: 0, 3: 0, 4: 1}"
60,5,{}
60,10,{}
60,AT12,"{2: 0, 3: 0, 4: 2}"
60,AT12,"{2: 0, 3: 0, 4: 2}"
60,Final Exam,"[0, 0, 0, 0, 2]"
61,Prior Assessment Test,"[0, 0, 0, 0, 0]"
61,AT18,"{1: 1, 2: 1, 3: 1}"
61,AT12,"{2: 1, 3: 1, 4: 0}"
61,1,{}
61,AT19,"{0: 1, 1: 1}"
61,AT12,"{2: 1, 3: 2, 4: 0}"
61,5,{}
61,AT19,"{0: 2, 1: 2}"
61,AT12,"{2: 2, 3: 2, 4: 0}"
61,Final Exam,"[2, 2, 2, 2, 0]"
62,Prior Assessment Test,"[0, 0, 0, 0, 1]"
62,5,{}
62,AT19,"{0: 0, 1: 2}"
62,AT17,"{0: 1, 1: 2, 3: 1}"
62,AT12,"{2: 2, 3: 1, 4: 1}"
62,6,{}
62,AT12,"{2: 2, 3: 1, 4: 2}"
62,AT17,"{0: 2, 1: 2, 3: 1}"
62,AT11,{3: 2}
62,Final Exam,"[2, 2, 2, 2, 2]"
63,Prior Assessment Test,"[0, 1, 0, 1, 0]"
63,AT18,"{1: 2, 2: 1, 3: 2}"
63,10,{}
63,8,{}
63,8,{}
63,10,{}
63,6,{}
63,AT19,"{0: 1, 1: 2}"
63,AT12,"{2: 2, 3: 2, 4: 2}"
63,Final Exam,"[1, 2, 2, 2, 2]"
64,Prior Assessment Test,"[0, 1, 0, 0, 0]"
64,AT17,"{0: 1, 1: 1, 3: 1}"
64,AT17,"{0: 2, 1: 2, 3: 1}"
64,AT12,"{2: 0, 3: 2, 4: 0}"
64,AT12,"{2: 1, 3: 2, 4: 2}"
64,9,{}
64,9,{}
64,AT15,{2: 2}
64,Final Exam,"[2, 2, 2, 2, 2]"
65,Prior Assessment Test,"[0, 0, 0, 0, 1]"
65,AT13,{1: 1}
65,AT17,"{0: 1, 1: 2, 3: 0}"
65,AT12,"{2: 1, 3: 1, 4: 2}"
65,AT18,"{1: 2, 2: 2, 3: 1}"
65,AT17,"{0: 1, 1: 2, 3: 1}"
65,AT17,"{0: 1, 1: 2, 3: 2}"
65,AT17,"{0: 1, 1: 2, 3: 2}"
65,AT17,"{0: 1, 1: 2, 3: 2}"
65,Final Exam,"[1, 2, 2, 2, 2]"
66,Prior Assessment Test,"[0, 1, 0, 0, 1]"
66,AT18,"{1: 1, 2: 1, 3: 0}"
66,3,{}
66,AT18,"{1: 2, 2: 1, 3: 0}"
66,AT17,"{0: 2, 1: 2, 3: 0}"
66,AT12,"{2: 1, 3: 0, 4: 1}"
66,AT12,"{2: 2, 3: 1, 4: 2}"
66,AT18,"{1: 2, 2: 2, 3: 2}"
66,Final Exam,"[2, 2, 2, 2, 2]"
67,Prior Assessment Test,"[0, 0, 1, 0, 0]"
67,AT18,"{1: 0, 2: 2, 3: 0}"
67,AT17,"{0: 1, 1: 1, 3: 1}"
67,AT12,"{2: 2, 3: 1, 4: 0}"
67,AT12,"{2: 2, 3: 1, 4: 0}"
67,AT14,{4: 1}
67,AT12,"{2: 2, 3: 2, 4: 1}"
67,AT19,"{0: 1, 1: 1}"
67,AT12,"{2: 2, 3: 2, 4: 2}"
67,Final Exam,"[1, 1, 2, 2, 2]"
68,Prior Assessment Test,"[0, 1, 1, 0, 0]"
68,AT19,"{0: 2, 1: 2}"
68,AT12,"{2: 2, 3: 2, 4: 2}"
68,Final Exam,"[2, 2, 2, 2, 2]"
69,Prior Assessment Test,"[0, 1, 0, 0, 1]"
69,AT12,"{2: 0, 3: 0, 4: 2}"
69,AT19,"{0: 1, 1: 2}"
69,3,{}
69,AT12,"{2: 0, 3: 0, 4: 2}"
69,AT12,"{2: 0, 3: 0, 4: 2}"
69,AT19,"{0: 2, 1: 2}"
69,AT12,"{2: 1, 3: 0, 4: 2}"
69,AT12,"{2: 1, 3: 1, 4: 2}"
69,Final Exam,"[2, 2, 1, 1, 2]"
70,Prior Assessment Test,"[0, 0, 0, 1, 0]"
70,AT17,"{0: 1, 1: 1, 3: 1}"
70,AT17,"{0: 2, 1: 1, 3: 2}"
70,10,{}
70,10,{}
70,10,{}
70,AT13,{1: 2}
70,10,{}
70,AT12,"{2: 2, 3: 2, 4: 2}"
70,Final Exam,"[2, 2, 2, 2, 2]"
71,Prior Assessment Test,"[0, 0, 0, 0, 0]"
71,5,{}
71,AT17,"{0: 1, 1: 2, 3: 1}"
71,AT12,"{2: 2, 3: 2, 4: 1}"
71,3,{}
71,1,{}
71,1,{}
71,AT14,{4: 2}
71,3,{}
71,Final Exam,"[2, 2, 2, 2, 2]"
72,Prior Assessment Test,"[0, 0, 0, 0, 0]"
72,1,{}
72,5,{}
72,5,{}
72,2,{}
72,AT17,"{0: 2, 1: 2, 3: 1}"
72,AT12,"{2: 2, 3: 1, 4: 2}"
72,AT18,"{1: 2, 2: 2, 3: 2}"
72,Final Exam,"[2, 2, 2, 2, 2]"
73,Prior Assessment Test,"[0, 0, 1, 0, 0]"
73,AT12,"{2: 1, 3: 0, 4: 0}"
73,AT13,{1: 0}
73,AT17,"{0: 1, 1: 1, 3: 1}"
73,9,{}
73,9,{}
