Student_ID,Action_Types,Cur_Proficiency
24,Prior Assessment Test,"[0, 0, 0, 0, 0]"
24,6,{}
24,7,{}
24,AT18,"{1: 2, 4: 2}"
24,8,{}
24,5,{}
24,9,{}
24,5,{}
24,AT20,"{2: 2, 3: 2}"
24,Final Exam,"[2, 2, 2, 2, 2]"
25,Prior Assessment Test,"[0, 0, 0, 0, 0]"
25,9,{}
25,AT11,{3: 0}
25,9,{}
25,AT18,"{1: 0, 4: 1}"
25,AT13,"{1: 0, 3: 0}"
25,6,{}
25,AT12,{4: 1}
25,5,{}
25,Final Exam,"[0, 0, 0, 1, 1]"
26,Prior Assessment Test,"[0, 1, 0, 0, 1]"
26,AT13,"{1: 2, 3: 1}"
26,AT15,{0: 1}
26,8,{}
26,AT20,"{2: 2, 3: 2}"
26,AT18,"{1: 2, 4: 1}"
26,AT15,{0: 2}
26,AT12,{4: 2}
26,Final Exam,"[2, 2, 2, 2, 2]"
27,Prior Assessment Test,"[0, 1, 0, 0, 1]"
27,10,{}
27,6,{}
27,2,{}
27,3,{}
27,AT20,"{2: 2, 3: 2}"
27,10,{}
27,AT17,{0: 2}
27,AT18,"{1: 2, 4: 2}"
27,Final Exam,"[2, 2, 2, 2, 2]"
28,Prior Assessment Test,"[1, 1, 1, 1, 0]"
28,AT20,"{2: 2, 3: 1}"
28,AT13,"{1: 1, 3: 1}"
28,AT19,{3: 2}
28,AT12,{4: 0}
28,AT12,{4: 2}
28,AT17,{0: 1}
28,AT13,"{1: 1, 3: 2}"
28,AT17,{0: 1}
28,Final Exam,"[1, 1, 2, 2, 2]"
29,Prior Assessment Test,"[0, 0, 0, 0, 0]"
29,AT12,{4: 0}
29,2,{}
29,7,{}
29,8,{}
29,2,{}
29,10,{}
29,9,{}
29,AT12,{4: 2}
29,Final Exam,"[0, 2, 2, 0, 2]"
30,Prior Assessment Test,"[0, 0, 1, 0, 0]"
30,8,{}
30,AT20,"{2: 1, 3: 1}"
30,6,{}
30,7,{}
30,3,{}
30,5,{}
30,6,{}
30,8,{}
30,Final Exam,"[2, 2, 2, 2, 0]"
31,Prior Assessment Test,"[1, 1, 1, 0, 0]"
31,AT13,"{1: 1, 3: 0}"
31,9,{}
31,AT18,"{1: 2, 4: 2}"
31,9,{}
31,5,{}
31,AT17,{0: 2}
31,AT20,"{2: 2, 3: 1}"
31,AT11,{3: 1}
31,Final Exam,"[2, 2, 2, 1, 2]"
32,Prior Assessment Test,"[0, 0, 1, 0, 0]"
32,3,{}
32,5,{}
32,8,{}
32,AT12,{4: 2}
32,5,{}
32,2,{}
32,AT20,"{2: 2, 3: 2}"
32,AT17,{0: 2}
32,Final Exam,"[2, 0, 2, 2, 2]"
33,Prior Assessment Test,"[0, 0, 0, 0, 0]"
33,5,{}
33,AT17,{0: 0}
33,AT13,"{1: 0, 3: 0}"
33,AT13,"{1: 1, 3: 1}"
33,5,{}
33,AT13,"{1: 1, 3: 1}"
33,AT15,{0: 0}
33,AT20,"{2: 2, 3: 2}"
33,Final Exam,"[0, 1, 2, 2, 0]"
34,Prior Assessment Test,"[0, 0, 0, 0, 0]"
34,10,{}
34,5,{}
34,9,{}
34,AT18,"{1: 0, 4: 0}"
34,AT12,{4: 2}
34,5,{}
34,6,{}
34,AT20,"{2: 2, 3: 2}"
34,Final Exam,"[2, 2, 2, 2, 2]"
35,Prior Assessment Test,"[0, 0, 0, 1, 1]"
35,8,{}
35,6,{}
35,AT18,"{1: 1, 4: 1}"
35,AT15,{0: 2}
35,AT13,"{1: 2, 3: 1}"
35,AT12,{4: 2}
35,AT20,"{2: 1, 3: 2}"
35,AT20,"{2: 2, 3: 2}"
35,Final Exam,"[2, 2, 2, 2, 2]"
36,Prior Assessment Test,"[0, 0, 0, 1, 0]"
36,5,{}
36,AT20,"{2: 0, 3: 1}"
36,5,{}
36,AT17,{0: 0}
36,AT13,"{1: 0, 3: 1}"
36,AT13,"{1: 0, 3: 1}"
36,AT12,{4: 0}
36,AT20,"{2: 1, 3: 2}"
36,Final Exam,"[0, 0, 1, 2, 0]"
37,Prior Assessment Test,"[0, 1, 0, 0, 0]"
37,6,{}
37,1,{}
37,2,{}
37,5,{}
37,AT20,"{2: 1, 3: 0}"
37,3,{}
37,AT14,{3: 0}
37,AT19,{3: 0}
37,Final Exam,"[0, 2, 1, 0, 0]"
38,Prior Assessment Test,"[0, 0, 0, 0, 1]"
38,6,{}
38,5,{}
38,AT19,{3: 2}
38,9,{}
38,9,{}
38,AT15,{0: 2}
38,2,{}
38,AT12,{4: 1}
38,Final Exam,"[2, 0, 2, 2, 1]"
39,Prior Assessment Test,"[0, 0, 0, 0, 1]"
39,AT13,"{1: 1, 3: 1}"
39,7,{}
39,2,{}
39,AT20,"{2: 2, 3: 1}"
39,AT17,{0: 2}
39,3,{}
39,AT12,{4: 2}
39,AT13,"{1: 2, 3: 2}"
39,Final Exam,"[2, 2, 2, 2, 2]"
40,Prior Assessment Test,"[1, 0, 0, 1, 0]"
40,AT12,{4: 2}
40,8,{}
40,8,{}
40,8,{}
40,2,{}
40,AT20,"{2: 2, 3: 2}"
40,AT17,{0: 2}
40,AT13,"{1: 0, 3: 2}"
40,Final Exam,"[2, 0, 2, 2, 2]"
41,Prior Assessment Test,"[1, 0, 0, 0, 0]"
41,AT17,{0: 1}
41,2,{}
41,2,{}
41,AT13,"{1: 1, 3: 1}"
41,AT12,{4: 1}
41,AT18,"{1: 2, 4: 2}"
41,AT20,"{2: 2, 3: 1}"
41,AT15,{0: 2}
41,Final Exam,"[2, 2, 2, 1, 2]"
42,Prior Assessment Test,"[1, 0, 0, 0, 0]"
42,2,{}
42,2,{}
42,AT13,"{1: 2, 3: 1}"
42,AT20,"{2: 2, 3: 2}"
42,AT17,{0: 2}
42,7,{}
42,AT18,"{1: 2, 4: 2}"
42,Final Exam,"[2, 2, 2, 2, 2]"
43,Prior Assessment Test,"[0, 0, 0, 0, 0]"
43,5,{}
43,AT18,"{1: 1, 4: 2}"
43,6,{}
43,5,{}
43,2,{}
43,6,{}
43,AT13,"{1: 2, 3: 1}"
43,AT17,{0: 2}
43,Final Exam,"[2, 2, 2, 1, 2]"
44,Prior Assessment Test,"[1, 0, 1, 0, 0]"
44,AT18,"{1: 2, 4: 0}"
44,AT12,{4: 0}
44,5,{}
44,AT15,{0: 1}
44,7,{}
44,AT15,{0: 2}
44,AT20,"{2: 1, 3: 1}"
44,AT14,{3: 2}
44,Final Exam,"[2, 2, 1, 2, 1]"
45,Prior Assessment Test,"[0, 1, 0, 0, 0]"
45,AT17,{0: 2}
45,8,{}
45,2,{}
45,3,{}
45,AT13,"{1: 2, 3: 1}"
45,8,{}
45,AT12,{4: 2}
45,AT20,"{2: 2, 3: 2}"
45,Final Exam,"[2, 2, 2, 2, 2]"
46,Prior Assessment Test,"[1, 2, 0, 0, 0]"
46,6,{}
46,AT17,{0: 2}
46,AT20,"{2: 1, 3: 0}"
46,AT20,"{2: 2, 3: 0}"
46,AT12,{4: 1}
46,AT12,{4: 2}
46,AT11,{3: 2}
46,Final Exam,"[2, 2, 2, 2, 2]"
47,Prior Assessment Test,"[0, 0, 0, 0, 0]"
47,5,{}
47,2,{}
47,5,{}
47,9,{}
47,AT19,{3: 2}
47,AT18,"{1: 1, 4: 0}"
47,6,{}
47,AT15,{0: 2}
47,Final Exam,"[2, 1, 1, 2, 0]"
48,Prior Assessment Test,"[1, 1, 0, 0, 0]"
48,6,{}
48,5,{}
48,AT18,"{1: 2, 4: 2}"
48,AT15,{0: 2}
48,8,{}
48,AT20,"{2: 2, 3: 2}"
48,Final Exam,"[2, 2, 2, 2, 2]"
49,Prior Assessment Test,"[0, 0, 0, 0, 0]"
49,5,{}
49,AT17,{0: 2}
49,AT18,"{1: 0, 4: 0}"
49,8,{}
49,AT13,"{1: 0, 3: 2}"
49,2,{}
49,7,{}
49,AT20,"{2: 0, 3: 2}"
49,Final Exam,"[2, 0, 0, 2, 1]"
50,Prior Assessment Test,"[0, 0, 0, 0, 0]"
50,2,{}
50,2,{}
50,7,{}
50,AT17,{0: 2}
50,AT12,{4: 2}
50,8,{}
50,AT13,"{1: 2, 3: 2}"
50,2,{}
50,Final Exam,"[2, 2, 2, 2, 2]"
51,Prior Assessment Test,"[0, 0, 0, 0, 1]"
51,3,{}
51,5,{}
51,1,{}
51,AT17,{0: 2}
51,2,{}
51,2,{}
51,AT13,"{1: 2, 3: 0}"
51,AT20,"{2: 1, 3: 1}"
51,Final Exam,"[2, 2, 1, 1, 2]"
52,Prior Assessment Test,"[0, 0, 0, 0, 0]"
52,5,{}
52,2,{}
52,6,{}
52,2,{}
52,AT13,"{1: 2, 3: 1}"
52,AT19,{3: 2}
52,AT15,{0: 2}
52,AT20,"{2: 2, 3: 2}"
52,Final Exam,"[2, 2, 2, 2, 0]"
53,Prior Assessment Test,"[0, 1, 0, 1, 0]"
53,3,{}
53,6,{}
53,10,{}
53,7,{}
53,AT13,"{1: 2, 3: 2}"
53,AT18,"{1: 2, 4: 1}"
53,AT20,"{2: 0, 3: 2}"
53,AT17,{0: 2}
53,Final Exam,"[2, 2, 0, 2, 1]"
54,Prior Assessment Test,"[0, 0, 1, 0, 1]"
54,5,{}
54,AT13,"{1: 1, 3: 2}"
54,7,{}
54,AT15,{0: 2}
54,7,{}
54,AT12,{4: 2}
54,AT20,"{2: 1, 3: 2}"
54,AT20,"{2: 2, 3: 2}"
54,Final Exam,"[2, 1, 2, 2, 2]"
55,Prior Assessment Test,"[0, 0, 0, 0, 0]"
55,3,{}
55,AT20,"{2: 1, 3: 2}"
55,2,{}
55,3,{}
55,9,{}
55,10,{}
55,5,{}
55,AT17,{0: 2}
55,Final Exam,"[2, 2, 2, 2, 2]"
56,Prior Assessment Test,"[1, 0, 1, 0, 0]"
56,AT18,"{1: 2, 4: 0}"
56,9,{}
56,2,{}
56,AT12,{4: 2}
56,AT20,"{2: 2, 3: 0}"
56,5,{}
56,AT14,{3: 2}
56,AT17,{0: 2}
56,Final Exam,"[2, 2, 2, 2, 2]"
57,Prior Assessment Test,"[0, 0, 0, 0, 0]"
57,AT18,"{1: 0, 4: 0}"
57,AT15,{0: 1}
57,AT13,"{1: 0, 3: 0}"
57,AT20,"{2: 0, 3: 0}"
57,7,{}
57,7,{}
57,1,{}
57,AT20,"{2: 2, 3: 2}"
57,Final Exam,"[2, 0, 2, 2, 1]"
58,Prior Assessment Test,"[0, 1, 0, 0, 0]"
58,AT13,"{1: 2, 3: 1}"
58,AT12,{4: 2}
58,5,{}
58,5,{}
58,2,{}
58,5,{}
58,5,{}
58,AT17,{0: 2}
58,Final Exam,"[2, 2, 1, 2, 2]"
59,Prior Assessment Test,"[0, 1, 0, 0, 1]"
59,2,{}
59,AT13,"{1: 2, 3: 0}"
59,AT17,{0: 1}
59,AT20,"{2: 2, 3: 1}"
59,1,{}
59,AT12,{4: 1}
59,AT17,{0: 2}
59,AT12,{4: 2}
59,Final Exam,"[2, 2, 2, 1, 2]"
60,Prior Assessment Test,"[0, 0, 0, 0, 1]"
60,AT20,"{2: 0, 3: 1}"
60,8,{}
60,7,{}
60,3,{}
60,AT11,{3: 2}
60,7,{}
60,AT17,{0: 1}
60,AT18,"{1: 1, 4: 2}"
60,Final Exam,"[1, 1, 1, 2, 2]"
61,Prior Assessment Test,"[0, 1, 0, 1, 0]"
61,AT18,"{1: 2, 4: 2}"
61,8,{}
61,8,{}
61,8,{}
61,10,{}
61,5,{}
61,AT15,{0: 1}
61,AT15,{0: 2}
61,Final Exam,"[2, 2, 2, 2, 2]"
62,Prior Assessment Test,"[0, 0, 0, 1, 0]"
62,AT13,"{1: 0, 3: 1}"
62,10,{}
62,8,{}
62,AT11,{3: 2}
62,8,{}
62,AT12,{4: 0}
62,AT17,{0: 1}
62,AT20,"{2: 1, 3: 2}"
62,Final Exam,"[1, 0, 1, 2, 0]"
63,Prior Assessment Test,"[0, 0, 0, 0, 0]"
63,AT20,"{2: 2, 3: 2}"
63,1,{}
63,7,{}
63,6,{}
63,10,{}
63,3,{}
63,7,{}
63,AT18,"{1: 2, 4: 2}"
63,Final Exam,"[2, 2, 2, 2, 2]"
64,Prior Assessment Test,"[0, 0, 0, 0, 0]"
64,AT20,"{2: 0, 3: 0}"
64,5,{}
64,5,{}
64,10,{}
64,10,{}
64,2,{}
64,AT20,"{2: 2, 3: 2}"
64,AT15,{0: 2}
64,Final Exam,"[2, 2, 2, 2, 0]"
65,Prior Assessment Test,"[0, 0, 0, 0, 1]"
65,10,{}
65,8,{}
65,6,{}
65,AT18,"{1: 1, 4: 1}"
65,3,{}
65,3,{}
65,10,{}
65,AT13,"{1: 2, 3: 0}"
65,Final Exam,"[2, 2, 0, 0, 2]"
66,Prior Assessment Test,"[0, 0, 0, 0, 0]"
66,9,{}
66,AT15,{0: 1}
66,AT17,{0: 2}
66,AT13,"{1: 1, 3: 2}"
66,9,{}
66,2,{}
66,7,{}
66,AT12,{4: 0}
66,Final Exam,"[2, 2, 2, 2, 0]"
67,Prior Assessment Test,"[1, 0, 0, 0, 0]"
67,AT18,"{1: 0, 4: 0}"
67,2,{}
67,7,{}
67,8,{}
67,AT18,"{1: 2, 4: 0}"
67,8,{}
67,3,{}
67,AT12,{4: 1}
67,Final Exam,"[1, 2, 2, 0, 1]"
68,Prior Assessment Test,"[0, 0, 0, 0, 0]"
68,AT13,"{1: 2, 3: 2}"
68,9,{}
68,9,{}
68,AT18,"{1: 2, 4: 0}"
68,3,{}
68,5,{}
68,5,{}
68,2,{}
68,Final Exam,"[2, 2, 2, 2, 1]"
69,Prior Assessment Test,"[0, 0, 0, 0, 1]"
69,7,{}
69,AT13,"{1: 0, 3: 0}"
69,AT12,{4: 2}
69,6,{}
69,8,{}
69,5,{}
69,8,{}
69,AT17,{0: 2}
69,Final Exam,"[2, 1, 2, 1, 2]"
70,Prior Assessment Test,"[0, 1, 0, 0, 0]"
70,9,{}
70,9,{}
70,AT15,{0: 1}
70,2,{}
70,AT15,{0: 2}
70,AT13,"{1: 2, 3: 1}"
70,AT12,{4: 2}
70,AT20,"{2: 2, 3: 2}"
70,Final Exam,"[2, 2, 2, 2, 2]"
71,Prior Assessment Test,"[1, 0, 0, 0, 0]"
71,2,{}
71,7,{}
71,AT13,"{1: 2, 3: 1}"
71,AT20,"{2: 2, 3: 2}"
71,AT18,"{1: 2, 4: 2}"
71,5,{}
71,AT17,{0: 2}
71,Final Exam,"[2, 2, 2, 2, 2]"
72,Prior Assessment Test,"[0, 0, 1, 0, 0]"
72,AT11,{3: 2}
72,AT18,"{1: 1, 4: 0}"
72,AT18,"{1: 1, 4: 0}"
72,2,{}
72,7,{}
72,AT12,{4: 1}
72,AT20,"{2: 2, 3: 2}"
72,AT12,{4: 1}
72,Final Exam,"[0, 1, 2, 2, 1]"
73,Prior Assessment Test,"[0, 0, 1, 0, 0]"
73,10,{}
73,6,{}
73,AT12,{4: 0}
73,3,{}
73,2,{}
73,2,{}
73,AT13,"{1: 1, 3: 0}"
73,AT17,{0: 2}
73,Final Exam,"[2, 1, 2, 0, 0]"
74,Prior Assessment Test,"[0, 0, 1, 1, 1]"
74,AT11,{3: 2}
74,5,{}
74,2,{}
74,AT17,{0: 2}
74,2,{}
74,AT12,{4: 1}
74,AT18,"{1: 1, 4: 2}"
74,AT16,{1: 2}
74,Final Exam,"[2, 2, 2, 2, 2]"
75,Prior Assessment Test,"[1, 0, 0, 0, 0]"
75,3,{}
75,6,{}
75,10,{}
75,3,{}
75,AT18,"{1: 2, 4: 0}"
75,1,{}
75,AT20,"{2: 0, 3: 0}"
75,AT17,{0: 2}
75,Final Exam,"[2, 2, 0, 0, 0]"
76,Prior Assessment Test,"[0, 0, 0, 1, 0]"
76,8,{}
76,3,{}
76,AT13,"{1: 2, 3: 1}"
76,5,{}
76,2,{}
76,8,{}
76,2,{}
76,AT18,"{1: 2, 4: 2}"
76,Final Exam,"[0, 2, 2, 2, 2]"
77,Prior Assessment Test,"[0, 0, 0, 0, 0]"
77,AT13,"{1: 1, 3: 1}"
77,AT13,"{1: 2, 3: 2}"
77,2,{}
77,9,{}
77,8,{}
77,AT12,{4: 2}
77,8,{}
77,10,{}
77,Final Exam,"[1, 2, 2, 2, 2]"
78,Prior Assessment Test,"[1, 0, 0, 1, 0]"
78,AT18,"{1: 1, 4: 0}"
78,AT13,"{1: 1, 3: 1}"
78,9,{}
78,10,{}
78,9,{}
78,AT20,"{2: 1, 3: 1}"
78,9,{}
78,AT13,"{1: 2, 3: 2}"
78,Final Exam,"[2, 2, 2, 2, 0]"
79,Prior Assessment Test,"[0, 0, 0, 0, 0]"
79,8,{}
79,2,{}
79,5,{}
79,AT15,{0: 2}
79,AT18,"{1: 1, 4: 0}"
79,3,{}
79,8,{}
79,AT13,"{1: 2, 3: 2}"
79,Final Exam,"[2, 2, 1, 2, 0]"
80,Prior Assessment Test,"[0, 0, 1, 1, 2]"
80,AT14,{3: 2}
80,6,{}
80,AT18,"{1: 1, 4: 2}"
80,10,{}
80,AT20,"{2: 2, 3: 2}"
80,AT17,{0: 2}
80,AT16,{1: 2}
80,Final Exam,"[2, 2, 2, 2, 2]"
81,Prior Assessment Test,"[0, 0, 0, 1, 0]"
81,AT13,"{1: 1, 3: 1}"
81,9,{}
81,AT20,"{2: 0, 3: 1}"
81,2,{}
81,7,{}
81,9,{}
81,AT20,"{2: 2, 3: 1}"
81,AT18,"{1: 2, 4: 1}"
81,Final Exam,"[0, 2, 2, 1, 1]"
82,Prior Assessment Test,"[0, 0, 0, 0, 0]"
82,AT20,"{2: 1, 3: 1}"
82,3,{}
82,1,{}
82,1,{}
82,AT19,{3: 2}
82,9,{}
82,2,{}
82,AT18,"{1: 2, 4: 2}"
82,Final Exam,"[2, 2, 2, 2, 2]"
83,Prior Assessment Test,"[2, 0, 1, 0, 0]"
83,AT13,"{1: 1, 3: 1}"
83,AT13,"{1: 2, 3: 2}"
83,AT12,{4: 1}
83,8,{}
83,AT20,"{2: 2, 3: 2}"
83,AT12,{4: 2}
83,Final Exam,"[2, 2, 2, 2, 2]"
84,Prior Assessment Test,"[1, 0, 0, 0, 0]"
84,7,{}
84,AT14,{3: 1}
84,5,{}
84,9,{}
84,2,{}
84,5,{}
84,3,{}
84,AT15,{0: 2}
84,Final Exam,"[2, 1, 2, 2, 2]"
85,Prior Assessment Test,"[0, 0, 0, 0, 0]"
85,AT20,"{2: 1, 3: 1}"
85,AT12,{4: 1}
85,AT13,"{1: 0, 3: 1}"
85,AT13,"{1: 2, 3: 2}"
85,AT12,{4: 2}
85,9,{}
85,9,{}
85,AT15,{0: 2}
85,Final Exam,"[2, 2, 2, 2, 2]"
86,Prior Assessment Test,"[0, 1, 0, 0, 1]"
86,AT13,"{1: 2, 3: 1}"
86,7,{}
86,8,{}
86,AT11,{3: 2}
86,AT15,{0: 0}
86,2,{}
86,AT15,{0: 1}
86,AT17,{0: 2}
86,Final Exam,"[2, 2, 1, 2, 1]"
87,Prior Assessment Test,"[1, 0, 0, 0, 0]"
87,7,{}
87,AT13,"{1: 0, 3: 0}"
87,AT13,"{1: 0, 3: 0}"
87,AT15,{0: 1}
87,AT18,"{1: 0, 4: 2}"
87,AT13,"{1: 0, 3: 0}"
87,6,{}
87,AT17,{0: 2}
87,Final Exam,"[2, 1, 0, 0, 2]"
88,Prior Assessment Test,"[0, 0, 0, 0, 0]"
88,AT13,"{1: 1, 3: 2}"
88,AT15,{0: 2}
88,7,{}
88,2,{}
88,3,{}
88,3,{}
88,2,{}
88,2,{}
88,Final Exam,"[2, 2, 2, 2, 1]"
89,Prior Assessment Test,"[0, 0, 0, 0, 0]"
89,10,{}
89,AT18,"{1: 2, 4: 1}"
89,10,{}
89,8,{}
89,5,{}
89,5,{}
89,9,{}
89,AT20,"{2: 2, 3: 2}"
89,Final Exam,"[2, 2, 2, 2, 1]"
90,Prior Assessment Test,"[0, 0, 0, 0, 0]"
90,2,{}
90,2,{}
90,AT15,{0: 0}
90,5,{}
90,6,{}
90,AT17,{0: 2}
90,AT20,"{2: 0, 3: 2}"
90,AT18,"{1: 1, 4: 0}"
90,Final Exam,"[2, 1, 0, 2, 0]"
91,Prior Assessment Test,"[0, 0, 0, 0, 0]"
91,10,{}
91,2,{}
91,3,{}
91,3,{}
91,3,{}
91,5,{}
91,AT18,"{1: 2, 4: 2}"
91,AT14,{3: 1}
91,Final Exam,"[1, 2, 0, 1, 2]"
92,Prior Assessment Test,"[0, 0, 2, 1, 0]"
92,AT11,{3: 1}
92,AT14,{3: 2}
92,6,{}
92,7,{}
92,AT15,{0: 1}
